0x16950	EXE2j_bbs_BbsInit
0x16958	EXE2j_bbs_BbsMain
0x16970	EXE2j_bbs_bbs_enter
0x16978	EXE2j_bbs_bbs_menu
0x16980	EXE2j_bbs_bbs_exit
0x16988	EXE2j_bbs_bbs_read
0x16990	EXE2j_bbs_bbs_trans
0x16998	EXE2j_bbs_bbs_mess_data_uncomp
0x169b0	EXE2j_bbs2_bbs_body_set
0x169b8	EXE2j_bbs2_bbs_menu_string_char_set
0x169c0	EXE2j_bbs2_bbs_new_set
0x16a08	EXE2j_bbs2_bbs_menu_key_move
0x16a10	EXE2j_bbs2_bbs_cancel
0x16a18	EXE2j_bbs2_bbs_decition
0x16a20	EXE2j_bbs2_bbs_key_limit_check
0x16a28	EXE2j_bg_BgInit
0x16a30	EXE2j_bg_BgFlash
0x16a38	EXE2j_bg_BgCtrlSet
0x16a90	EXE2j_bg_DispCtrlSet
0x16aa8	EXE2j_bg_bld00_proc
0x16ab0	EXE2j_bg_bld01_proc
0x16ab8	EXE2j_bg_bld10_proc
0x16ac0	EXE2j_bg_bld11_proc
0x16ac8	EXE2j_bg_BgVramBlankSet
0x16ad0	EXE2j_bg_BgColorBlankSet
0x16ad8	EXE2j_bg_BldClear
0x16ae0	EXE2j_bg_BgColorTrans
0x16ae8	EXE2j_bg_BgScrnBuffClear
0x16af0	EXE2j_bgtrans_BgCharInit
0x16af8	EXE2j_bgtrans_BgCharSet
0x16b00	EXE2j_bgtrans_BgCharMove
0x16b08	EXE2j_bgtrans_GetBgScrnData
0x16b10	EXE2j_bgtrans_PutBgScrnDataReal
0x16b18	EXE2j_bgtrans_BgScrnDataTransXsub
0x16b20	EXE2j_bgtrans_BgScrnDataTransXadd
0x16b28	EXE2j_bgtrans_BgScrnDataTransYsub
0x16b30	EXE2j_bgtrans_BgScrnDataTransYadd
0x16b38	EXE2j_bgtrans_PutBgScrnDataComp
0x16b40	EXE2j_bgtrans_PutBgScrnDataBatt
0x16b48	EXE2j_bgtrans_BgScrnInitReal
0x16b50	EXE2j_bgtrans2_BgScrnInitComp
0x16b58	EXE2j_bgtrans2_BgScrnInitAllReal
0x16b60	EXE2j_bgtrans2_BgScrnInitAllComp
0x16b68	EXE2j_bgwram_BgPrintXLimitWram
0x16b70	EXE2j_bgwram_BgPrintYLimitWram
0x16b78	EXE2j_bgwram_BgPrintXYLimitWram
0x16b80	EXE2j_bgwram_BgClearXYWram
0x16b88	EXE2j_bgwram_BgClearXYLimitWram
0x16b90	EXE2j_bgwram_ColFadeTransWram
0x16bb0	EXE2j_bgwram_add_blend
0x16bb8	EXE2j_bgwram_sub_blend
0x16bc0	EXE2j_bg_sub_BgPrint
0x16bc8	EXE2j_bg_sub_BgPrintX
0x16bd0	EXE2j_bg_sub_BgPrintY
0x16bd8	EXE2j_bg_sub_BgPrintXY
0x16be0	EXE2j_bg_sub_BgClearXY
0x16be8	EXE2j_bg_sub_BgClearXYLimit
0x16bf0	EXE2j_bg_sub_BgPrintXLoop
0x16bf8	EXE2j_bg_sub_BgPrintYLoop
0x16c00	EXE2j_bg_sub_BgPrintXLimit
0x16c08	EXE2j_bg_sub_BgPrintYLimit
0x16c10	EXE2j_bg_sub_BgPrintXYLimit
0x16c18	EXE2j_bg_sub2_BgScrollProcSet
0x16c20	EXE2j_bg_sub2_BgScrollProcReset
0x16c28	EXE2j_bg_sub2_BgScrollProc
0x16c30	EXE2j_bg_sub2_BgScrollProcVBlank
0x16c38	EXE2j_bg_sub2_Type00BgInitScroll
0x16c40	EXE2j_bg_sub2_Type00BgScroll
0x16c48	EXE2j_bg_sub2_Type00VBlank
0x16c50	EXE2j_bg_sub2_Type01VBlank
0x16c58	EXE2j_bg_sub2_Type02VBlank
0x16c60	EXE2j_bg_sub2_Type03VBlank
0x16c68	EXE2j_bg_sub2_TypeXXDummy
0x16d28	EXE2j_bg_sub3_ScrChgTransInit
0x16d38	EXE2j_bg_sub3_ScrChgTransSet
0x16d48	EXE2j_bg_sub3_ScrChgTrans
0x16d80	EXE2j_bg_sub3_ScrChgTransVram
0x16d88	EXE2j_bg_sub3_ScrChgTransScrn
0x16d90	EXE2j_bg_sub3_ScrChgTransVram2
0x16db0	EXE2j_bg_sub3_vram2_no_flip
0x16db8	EXE2j_bg_sub3_vram2_h_flip
0x16dc0	EXE2j_bg_sub3_vram2_v_flip
0x16dc8	EXE2j_bg_sub3_vram2_hv_flip
0x16dd8	EXE2j_bg_sub3_ScrChgTransFade
0x16de0	EXE2j_bg_sub3_ScrChgTransSeCall
0x16de8	EXE2j_bg_sub3_ScrChgTransSetAll
0x16df0	EXE2j_bg_sub3_ColFadeSet
0x16df8	EXE2j_bg_sub3_ColFadeKill
0x16e00	EXE2j_bg_sub3_ColFadeKillAll
0x16e10	EXE2j_bg_sub3_ColFadeCheck
0x16e18	EXE2j_bg_sub3_ColFadeTrans
0x16e38	EXE2j_block_BlockTransInit
0x16e58	EXE2j_block_block_work_init
0x16e68	EXE2j_block_block_work_clear
0x16ea0	EXE2j_block_BlockMove
0x16ea8	EXE2j_block_BlockTrans
0x16ed0	EXE2j_block_BlockTransSub
0x16f70	EXE2j_block_BlockTransSubFlash
0x16f88	EXE2j_block_BlockTransSubEdge
0x16fb0	EXE2j_block_BlockColorTrans
0x16fc8	EXE2j_block_bf0_block_move
0x17098	EXE2j_block_block_check
0x170b8	EXE2j_block_block_area_stile_check
0x170e8	EXE2j_block_BlockDirectTrans
0x17100	EXE2j_block_BlockFlashFlagClear
0x17110	EXE2j_blocksub_BlockWorkInit
0x17120	EXE2j_blocksub_BlockStatusSet
0x17128	EXE2j_blocksub_BlockStatusGet
0x17130	EXE2j_blocksub_BlockStatusOn
0x17138	EXE2j_blocksub_BlockStatusOff
0x17140	EXE2j_blocksub_BlockAddrGet
0x17150	EXE2j_blocksub_BlockWorkRefreshAll
0x17160	EXE2j_blocksub_BlockWorkRefresh
0x17170	EXE2j_blocksub_BlockCrackSet
0x17188	EXE2j_blocksub_BlockOutSet
0x17198	EXE2j_blocksub_BlockOutSet2
0x171b0	EXE2j_blocksub_BlockOutSet3
0x171c8	EXE2j_blocksub_BlockPoisonSet
0x171d8	EXE2j_blocksub_BlockFlash
0x171e8	EXE2j_blocksub_BlockTypeChange
0x171f0	EXE2j_blocksub_BlockPlEmChange
0x171f8	EXE2j_blocksub_BlockPlEmTimerSet
0x17208	EXE2j_blocksub_BlockShiftGet
0x17210	EXE2j_blocksub_BlockShiftSet
0x17220	EXE2j_blocksub_BlockTransSet
0x17230	EXE2j_blocksub1_RandomMoveBlockGet
0x17238	EXE2j_blocksub1_RandomMoveClossBlockGet
0x17250	EXE2j_blocksub1_RandomBlockGet
0x17258	EXE2j_blocksub1_NoPlLineBlockGet
0x17260	EXE2j_blocksub1_RandomMoveBlockGet2
0x17268	EXE2j_blocksub1_PlLineBlockGet
0x17270	EXE2j_blocksub1_CalcFrontOtherBlock
0x17290	EXE2j_blocksub1_CalcFrontOtherBlock2
0x172a8	EXE2j_blocksub1_CheckAllBlockTop
0x172b0	EXE2j_blocksub1_CheckEmLineHead
0x172b8	EXE2j_blocksub1_CheckAllBlockLast
0x172c0	EXE2j_blocksub1_CheckLineLast
0x172c8	EXE2j_blocksub1_CheckAllLineHead
0x172d0	EXE2j_blocksub1_CheckLineHead
0x172e0	EXE2j_blocksub1_CheckLine
0x172e8	EXE2j_blocksub1_CountBombSetPos
0x17320	EXE2j_blocksub1_CheckCoverEm
0x17330	EXE2j_blocksub1_BlockBackEndGet
0x17338	EXE2j_blocksub1_BlockRightEndAllGet
0x17340	EXE2j_blocksub1_BlockLeftEndAllGet
0x17348	EXE2j_blocksub1_BlockBackEndGet2
0x17350	EXE2j_blocksub1_BlockLeftEndAllGet2
0x17358	EXE2j_blocksub1_BlockLeftEndLineGet2
0x17360	EXE2j_blocksub1_BlockRightEndAllGet2
0x17368	EXE2j_blocksub1_BlockRightEndLineGet2
0x17370	EXE2j_blocksub1_BlockLineBackEndGet
0x17378	EXE2j_blocksub1_BlockMoveCheck
0x17380	EXE2j_blocksub1_BlockAllCheckY
0x17388	EXE2j_blocksub1_CodeToBlock
0x17390	EXE2j_blocksub1_BlockToCode
0x17398	EXE2j_blocksub1_BlockExistCheck
0x173a0	EXE2j_blocksub1_BlockTypeNumGet
0x173a8	EXE2j_blocksubw_BlockWorkRefreshAllWram
0x173b0	EXE2j_blocksubw_BlockWorkRefreshWram
0x173e8	EXE2j_blocksubw_BattleHitStatusCheck
0x173f8	EXE2j_blocksubw_BattleHitBuffAddSubWram
0x17408	EXE2j_blocksubw_BattleHitBuffDelSubWram
0x17418	EXE2j_blocksubw_BlockChangeAttrCheckWram
0x17430	EXE2j_blocksubw_BlockStatusSetWram
0x17438	EXE2j_blocksubw_BlockStatusGetWram
0x17440	EXE2j_blocksubw_BlockStatusOnWram
0x17450	EXE2j_blocksubw_BattleHitCheckBlock_subWram
0x17460	EXE2j_blocksubw_inv_attr_checkWram
0x17470	EXE2j_blocksubw_shadow_attr_checkWram
0x17480	EXE2j_blocksubw_BattleHitAllSetWram
0x18018	EXE2j_btlev00_BattleEvent00Move
0x18038	EXE2j_btlev00_event00_init
0x18040	EXE2j_btlev00_event00_move_00
0x18060	EXE2j_btlev00_event00_move_01
0x18068	EXE2j_btlev00_event00_exit
0x18070	EXE2j_btlev01_BattleEvent01Move
0x18090	EXE2j_btlev01_btlev01_init
0x180a8	EXE2j_btlev01_btlev01_move
0x180c8	EXE2j_btlev01_btlev01_move00
0x180d0	EXE2j_btlev01_btlev01_move01
0x180e0	EXE2j_btlev01_btlev01_move02
0x180e8	EXE2j_btlev01_btlev01_move03
0x180f0	EXE2j_btlev01_btlev01_move04
0x180f8	EXE2j_btlev01_btlev01_exit
0x18100	EXE2j_btlev01_btlev01_exit2
0x18108	EXE2j_btlev02_BattleEvent02Move
0x18120	EXE2j_btlev02_btlev02_init
0x18128	EXE2j_btlev02_btlev02_move
0x18140	EXE2j_btlev02_btlev02_move00
0x18148	EXE2j_btlev02_btlev02_move01
0x18150	EXE2j_btlev02_btlev02_exit
0x181c8	EXE2j_btlev03_BattleEvent03Move
0x181e8	EXE2j_btlev03_event03_init
0x181f8	EXE2j_btlev03_event03_move_00
0x18220	EXE2j_btlev03_event03_move_01
0x18228	EXE2j_btlev03_event03_exit
0x18230	EXE2j_btlev04_BattleEvent04Move
0x18248	EXE2j_btlev04_event04_init
0x18268	EXE2j_btlev04_event04_move
0x18280	EXE2j_btlev04_event04_telop
0x18288	EXE2j_btlev04_event04_efc
0x18290	EXE2j_btlev04_event04_fade
0x18298	EXE2j_btlev04_event04_exit
0x182a0	EXE2j_btlev05_BattleEvent05Move
0x182b8	EXE2j_btlev05_event05_init
0x182c0	EXE2j_btlev05_event05_move
0x182d8	EXE2j_btlev05_event05_appear
0x182e0	EXE2j_btlev05_event05_set
0x182f0	EXE2j_btlev05_event05_fade
0x182f8	EXE2j_btlev05_event05_exit
0x18300	EXE2j_btlev06_BattleEvent06Move
