0x1dbb0	EXE3_bbs_BbsInit
0x1dbc0	EXE3_bbs_BbsMain
0x1dbf8	EXE3_bbs_bbs_enter
0x1dc08	EXE3_bbs_bbs_menu
0x1dc10	EXE3_bbs_bbs_exit
0x1dc20	EXE3_bbs_bbs_open
0x1dc28	EXE3_bbs_bbs_read
0x1dc38	EXE3_bbs_bbs_close
0x1dc40	EXE3_bbs_bbs_open_wait
0x1dc48	EXE3_bbs_bbs_open_new
0x1dc58	EXE3_bbs_bbs_read_new
0x1dc60	EXE3_bbs_bbs_close_new
0x1dc68	EXE3_bbs_bbs_trans
0x1dc70	EXE3_bbs_bbs_mess_data_uncomp
0x1dc88	EXE3_bbs2_bbs_scrn_char_init
0x1dd10	EXE3_bbs2_bbs_buff_set
0x1dd18	EXE3_bbs2_bbs_body_set
0x1dd28	EXE3_bbs2_bbs_menu_string_char_set
0x1dd40	EXE3_bbs2_bbs_new_set2
0x1dd50	EXE3_bbs2_bbs_new_set
0x1dde8	EXE3_bbs2_bbs_menu_key_move
0x1ddf8	EXE3_bbs2_bbs_cancel
0x1de00	EXE3_bbs2_bbs_decition
0x1de08	EXE3_bbs2_bbs_mess_win_set
0x1de18	EXE3_bbs2_bbs_mess_new_win_set
0x1de28	EXE3_bbs2_bbs_menu_string_char_set2
0x1de40	EXE3_bbs2_bbs_menu_string_scrn_set2
0x1de50	EXE3_bbs2_bbs_common_clt_set
0x1de60	EXE3_bg_BgInit
0x1de68	EXE3_bg_BgFlash
0x1de70	EXE3_bg_BgCtrlSet
0x1dee0	EXE3_bg_DispCtrlSet
0x1dee8	EXE3_bg_BgVramBlankSet
0x1def0	EXE3_bg_BgColorBlankSet
0x1def8	EXE3_bg_BldClear
0x1df00	EXE3_bg_BgColorTrans
0x1df08	EXE3_bg_BgScrnBuffClear
0x1df10	EXE3_bgtrans_BgCharInit
0x1df18	EXE3_bgtrans_BgCharSet
0x1df20	EXE3_bgtrans_BgCharMove
0x1df28	EXE3_bgtrans_local_GetBgScrnData
0x1df30	EXE3_bgtrans_local_PutBgScrnDataReal
0x1df38	EXE3_bgtrans_local_BgScrnDataTransXsub
0x1df40	EXE3_bgtrans_local_BgScrnDataTransXadd
0x1df48	EXE3_bgtrans_local_BgScrnDataTransYsub
0x1df50	EXE3_bgtrans_local_BgScrnDataTransYadd
0x1df58	EXE3_bgtrans_local_PutBgScrnDataComp
0x1df60	EXE3_bgtrans_local_PutBgScrnDataBatt
0x1df68	EXE3_bgtrans2_local_BgScrnInitReal
0x1df70	EXE3_bgtrans2_local_BgScrnInitComp
0x1df78	EXE3_bgtrans2_local_BgScrnInitAllReal
0x1df80	EXE3_bgtrans2_local_BgScrnInitAllComp
0x1df88	EXE3_bgwram_local_BgPrintXYLimitWram
0x1df90	EXE3_bgwram_local_BgClearXYWram
0x1df98	EXE3_bgwram_local_BgClearXYLimitWram
0x1dfa0	EXE3_bgwram_local_ColFadeTransWram
0x1dfc0	EXE3_bgwram_add_blend
0x1dfc8	EXE3_bgwram_sub_blend
0x1dfd0	EXE3_bg_sub_BgPrint
0x1dfd8	EXE3_bg_sub_BgPrintXYLimit
0x1dfe8	EXE3_bg_sub_BgPrintXY
0x1dff0	EXE3_bg_sub_BgClearXY
0x1e000	EXE3_bg_sub_BgClearXYLimit
0x1e010	EXE3_bg_sub_BgPrintXLoop
0x1e018	EXE3_bg_sub_BgPrintYLoop
0x1e020	EXE3_bg_sub2_BgScrollProcSet
0x1e028	EXE3_bg_sub2_BgScrollProcReset
0x1e030	EXE3_bg_sub2_BgScrollProc
0x1e038	EXE3_bg_sub2_BgScrollProcVBlank
0x1e040	EXE3_bg_sub2_Type00VBlank
0x1e048	EXE3_bg_sub2_Type01VBlank
0x1e050	EXE3_bg_sub2_Type02VBlank
0x1e058	EXE3_bg_sub2_Type03VBlank
0x1e060	EXE3_bg_sub2_Type04VBlank
0x1e068	EXE3_bg_sub2_Type05VBlank
0x1e070	EXE3_bg_sub2_Type06VBlank
0x1e080	EXE3_bg_sub2_TypeXXDummy
0x1e088	EXE3_block_BlockTransInit
0x1e0a8	EXE3_block_block_work_init
0x1e0b8	EXE3_block_block_work_clear
0x1e0f0	EXE3_block_BlockMove
0x1e0f8	EXE3_block_BlockTrans
0x1e120	EXE3_block_BlockTransSub
0x1e128	EXE3_block_BlockTransSub2
0x1e1d0	EXE3_block_BlockTransSubFlash
0x1e1e8	EXE3_block_BlockTransSubEdge
0x1e210	EXE3_block_BlockColorTrans
0x1e228	EXE3_block_bf0_block_move
0x1e2d0	EXE3_block_block_check
0x1e2f0	EXE3_block_block_area_stile_check
0x1e320	EXE3_block_BlockDirectTrans
0x1e338	EXE3_block_BlockFlashFlagClear
0x1e348	EXE3_blocksub_BlockWorkInit
0x1e350	EXE3_blocksub_BlockStatusSet
0x1e358	EXE3_blocksub_BlockStatusGet
0x1e360	EXE3_blocksub_BlockStatusOn
0x1e368	EXE3_blocksub_BlockStatusOff
0x1e370	EXE3_blocksub_BlockAddrGet
0x1e380	EXE3_blocksub_BlockWorkRefreshAll
0x1e390	EXE3_blocksub_BlockWorkRefresh
0x1e3a0	EXE3_blocksub_BlockCrackSet
0x1e3b8	EXE3_blocksub_BlockCrackSet2
0x1e3d0	EXE3_blocksub_BlockOutSet
0x1e3e0	EXE3_blocksub_BlockOutSet2
0x1e3f8	EXE3_blocksub_BlockOutSet3
0x1e410	EXE3_blocksub_BlockOutSet4
0x1e428	EXE3_blocksub_BlockPoisonSet
0x1e438	EXE3_blocksub_BlockFlash
0x1e448	EXE3_blocksub_BlockTypeChange
0x1e450	EXE3_blocksub_BlockTypeChangeNormalOnly
0x1e458	EXE3_blocksub_BlockPlEmChange
0x1e460	EXE3_blocksub_BlockPlEmTimerSet
0x1e470	EXE3_blocksub_BlockTransSet
0x1e480	EXE3_blocksub1_RandomMoveBlockGet
0x1e488	EXE3_blocksub1_RandomMoveUpDownBlockGet
0x1e490	EXE3_blocksub1_RandomMoveUpDownLeftBlockGet
0x1e498	EXE3_blocksub1_RandomMoveCrossBlockGet
0x1e4a0	EXE3_blocksub1_RandomMoveVicinityBlockGet
