0x23890	EXE4_bbs_BbsInit
0x238a0	EXE4_bbs_BbsMain
0x238d8	EXE4_bbs_bbs_enter
0x238f0	EXE4_bbs_bbs_menu
0x23900	EXE4_bbs_bbs_exit
0x23910	EXE4_bbs_bbs_open
0x23920	EXE4_bbs_bbs_read
0x23930	EXE4_bbs_bbs_close
0x23938	EXE4_bbs_bbs_open_wait
0x23940	EXE4_bbs_bbs_open_new
0x23950	EXE4_bbs_bbs_read_new
0x23958	EXE4_bbs_bbs_close_new
0x23960	EXE4_bbs_bbs_trans
0x23968	EXE4_bbs_bbs_mess_data_uncomp
0x23980	EXE4_bbs2_bbs_scrn_char_init
0x239f8	EXE4_bbs2_bbs_buff_set
0x23a00	EXE4_bbs2_bbs_body_set
0x23a10	EXE4_bbs2_bbs_menu_string_char_set
0x23a28	EXE4_bbs2_bbs_new_set
0x23b48	EXE4_bbs2_bbs_new_set2
0x23ba0	EXE4_bbs2_bbs_menu_key_move
0x23bb0	EXE4_bbs2_bbs_cancel
0x23bb8	EXE4_bbs2_bbs_decition
0x23bc0	EXE4_bbs2_bbs_mess_win_set
0x23bd0	EXE4_bbs2_bbs_mess_new_win_set
0x23be0	EXE4_bbs2_bbs_menu_string_char_set2
0x23bf8	EXE4_bbs2_bbs_menu_string_scrn_set2
0x23c08	EXE4_bbs2_bbs_common_clt_set
0x23c18	EXE4_bbs2_first_new_check
0x23c28	EXE4_bg_BgInit
0x23c38	EXE4_bg_BgFlash
0x23c50	EXE4_bg_BgCtrlSet
0x23d10	EXE4_bg_BgCtrlSetField
0x23d20	EXE4_bg_DispCtrlSet
0x23d40	EXE4_bg_BgVramBlankSet
0x23d58	EXE4_bg_BgColorBlankSet
0x23d60	EXE4_bg_BgColorBlankInit
0x23d70	EXE4_bg_BldClear
0x23d78	EXE4_bg_BgColorTrans
0x23d88	EXE4_bg_BgScrnBuffClear
0x23d98	EXE4_bg_BgDebugFontSet
0x23db8	EXE4_bgefc_BgEfcExec
0x23dc0	EXE4_bgefc_BgEfcKill
0x23dc8	EXE4_bgefc_BgEfcKill2
0x23dd0	EXE4_bgefc_BgEfcMove
0x23dd8	EXE4_bgefc_BgEfcMoveCheck
0x23e38	EXE4_bgefc00_BgEfc00Move
0x23e50	EXE4_bgefc00_bgefc00_init
0x23e78	EXE4_bgefc00_bgefc00_main
0x23ec8	EXE4_bgefc00_bgefc00_end_ck
0x23ed0	EXE4_bgefc00_bgefc00_se_ck
0x23ed8	EXE4_bgefc00_BgEfc00Stop
0x23f60	EXE4_bgefc01_BgEfc01Move
0x23f78	EXE4_bgefc01_BgEfc01Stop
0x23f80	EXE4_bgefc01_bgefc01_init
0x23fa0	EXE4_bgefc01_bgefc01_main
0x23fb0	EXE4_bgefc01_BgEfc01Move2
0x23fc8	EXE4_bgefc01_BgEfc01Stop2
0x23fd0	EXE4_bgefc01_bgefc01_init2
0x23ff0	EXE4_bgefc01_bgefc01_main2
0x24018	EXE4_bgefc02_BgEfc02Move
0x24030	EXE4_bgefc02_BgEfc02Stop
0x24038	EXE4_bgefc02_bgefc02_init
0x24060	EXE4_bgefc02_bgefc02_main
0x24088	EXE4_bgefc03_BgEfc03Move
0x240a0	EXE4_bgefc03_BgEfc03Stop
0x240a8	EXE4_bgefc03_bgefc03_init
0x240c8	EXE4_bgefc03_bgefc03_main
0x24138	EXE4_bgefc04_BgEfc04Move
0x24160	EXE4_bgefc04_BgEfc04Stop
0x24168	EXE4_bgefc04_bgefc04_init
0x24170	EXE4_bgefc04_bgefc04_start
0x24178	EXE4_bgefc04_bgefc04_main
0x24180	EXE4_bgefc04_bgefc04_end
0x24188	EXE4_bgefc04_bgefc04_wait
0x24190	EXE4_bgefc04_bgefc04_disp_sub
0x242b8	EXE4_bgefc05_BgEfc05Move
0x242d8	EXE4_bgefc05_BgEfc05Stop
0x242e8	EXE4_bgefc05_bgefc05_init
0x24310	EXE4_bgefc05_bgefc05_main
0x24328	EXE4_bgefc05_bgefc05_end
0x24330	EXE4_bgefc06_BgEfc06Move
0x24348	EXE4_bgefc06_BgEfc06Stop
0x24350	EXE4_bgefc06_bgefc06_init
