0x1404F68C0	EXE2j_bbs_BbsInit
0x1404F6B30	EXE2j_bbs_BbsMain
0x1404F6CC0	EXE2j_bbs_bbs_enter
0x1404F73A0	EXE2j_bbs_bbs_menu
0x1404F74C0	EXE2j_bbs_bbs_exit
0x1404F7750	EXE2j_bbs_bbs_read
0x1404F7A80	EXE2j_bbs_bbs_trans
0x1404F7DE0	EXE2j_bbs_bbs_mess_data_uncomp
0x140726510	EXE2j_bbs2_bbs_body_set
0x140726840	EXE2j_bbs2_bbs_menu_string_char_set
0x140727130	EXE2j_bbs2_bbs_new_set
0x140727DE0	EXE2j_bbs2_bbs_menu_key_move
0x140728090	EXE2j_bbs2_bbs_cancel
0x140728220	EXE2j_bbs2_bbs_decition
0x1407283F0	EXE2j_bbs2_bbs_key_limit_check
0x140A69170	EXE2j_bg_BgInit
0x140A69360	EXE2j_bg_BgFlash
0x140A694B0	EXE2j_bg_BgCtrlSet
0x140A695F0	EXE2j_bg_DispCtrlSet
0x140A69A00	EXE2j_bg_bld00_proc
0x140A69C40	EXE2j_bg_bld01_proc
0x140A69EA0	EXE2j_bg_bld10_proc
0x140A6A0C0	EXE2j_bg_bld11_proc
0x140A6A2E0	EXE2j_bg_BgVramBlankSet
0x140A6A490	EXE2j_bg_BgColorBlankSet
0x140A6A5F0	EXE2j_bg_BldClear
0x140A6A710	EXE2j_bg_BgColorTrans
0x140A6A880	EXE2j_bg_BgScrnBuffClear
0x140ACD8F0	EXE2j_bgtrans_BgCharInit
0x140ACDDC0	EXE2j_bgtrans_BgCharSet
0x140ACE5F0	EXE2j_bgtrans_BgCharMove
0x140ACEA90	EXE2j_bgtrans_GetBgScrnData
0x140ACEE40	EXE2j_bgtrans_PutBgScrnDataReal
0x140ACF270	EXE2j_bgtrans_BgScrnDataTransXsub
0x140ACFCB0	EXE2j_bgtrans_BgScrnDataTransXadd
0x140AD06F0	EXE2j_bgtrans_BgScrnDataTransYsub
0x140AD1140	EXE2j_bgtrans_BgScrnDataTransYadd
0x140AD1B80	EXE2j_bgtrans_PutBgScrnDataComp
0x140AD1FE0	EXE2j_bgtrans_PutBgScrnDataBatt
0x140AD2290	EXE2j_bgtrans_BgScrnInitReal
0x1407E3760	EXE2j_bgtrans2_BgScrnInitComp
0x1407E4740	EXE2j_bgtrans2_BgScrnInitAllReal
0x1407E51B0	EXE2j_bgtrans2_BgScrnInitAllComp
0x1409E0EF0	EXE2j_bgwram_BgPrintXLimitWram
0x1409E12C0	EXE2j_bgwram_BgPrintYLimitWram
0x1409E16A0	EXE2j_bgwram_BgPrintXYLimitWram
0x1409E1BB0	EXE2j_bgwram_BgClearXYWram
0x1409E2090	EXE2j_bgwram_BgClearXYLimitWram
0x1409E2530	EXE2j_bgwram_ColFadeTransWram
0x1409E28F0	EXE2j_bgwram_add_blend
0x1409E2B40	EXE2j_bgwram_sub_blend
0x1406DF960	EXE2j_bg_sub_BgPrint
0x1406DFB30	EXE2j_bg_sub_BgPrintX
0x1406DFE60	EXE2j_bg_sub_BgPrintY
0x1406E0190	EXE2j_bg_sub_BgPrintXY
0x1406E0700	EXE2j_bg_sub_BgClearXY
0x1406E07B0	EXE2j_bg_sub_BgClearXYLimit
0x1406E0860	EXE2j_bg_sub_BgPrintXLoop
0x1406E0BF0	EXE2j_bg_sub_BgPrintYLoop
0x1406E0FA0	EXE2j_bg_sub_BgPrintXLimit
0x1406E1050	EXE2j_bg_sub_BgPrintYLimit
0x1406E1100	EXE2j_bg_sub_BgPrintXYLimit
0x140AEB070	EXE2j_bg_sub2_BgScrollProcSet
0x140AEB1C0	EXE2j_bg_sub2_BgScrollProcReset
0x140AEB300	EXE2j_bg_sub2_BgScrollProc
0x140AEB3D0	EXE2j_bg_sub2_BgScrollProcVBlank
0x140AEB4A0	EXE2j_bg_sub2_Type00BgInitScroll
0x140AEB8B0	EXE2j_bg_sub2_Type00BgScroll
0x140AEBA70	EXE2j_bg_sub2_Type00VBlank
0x140AEBAB0	EXE2j_bg_sub2_Type01VBlank
0x140AEBC80	EXE2j_bg_sub2_Type02VBlank
0x140AEBDA0	EXE2j_bg_sub2_Type03VBlank
0x140AEBEC0	EXE2j_bg_sub2_TypeXXDummy
0x140638E70	EXE2j_bg_sub3_ScrChgTransInit
0x140638F50	EXE2j_bg_sub3_ScrChgTransSet
0x140639320	EXE2j_bg_sub3_ScrChgTrans
0x1406397D0	EXE2j_bg_sub3_ScrChgTransVram
0x140639970	EXE2j_bg_sub3_ScrChgTransScrn
0x140639E10	EXE2j_bg_sub3_ScrChgTransVram2
0x14063A650	EXE2j_bg_sub3_vram2_no_flip
0x14063A780	EXE2j_bg_sub3_vram2_h_flip
0x14063BF30	EXE2j_bg_sub3_vram2_v_flip
0x14063C060	EXE2j_bg_sub3_vram2_hv_flip
0x14063D800	EXE2j_bg_sub3_ScrChgTransFade
0x14063DAA0	EXE2j_bg_sub3_ScrChgTransSeCall
0x14063DC30	EXE2j_bg_sub3_ScrChgTransSetAll
0x14063DE30	EXE2j_bg_sub3_ColFadeSet
0x14063E030	EXE2j_bg_sub3_ColFadeKill
0x14063E160	EXE2j_bg_sub3_ColFadeKillAll
0x14063E240	EXE2j_bg_sub3_ColFadeCheck
0x14063E400	EXE2j_bg_sub3_ColFadeTrans
0x140975D50	EXE2j_block_BlockTransInit
0x1409761D0	EXE2j_block_block_work_init
0x1409764F0	EXE2j_block_block_work_clear
0x140976760	EXE2j_block_BlockMove
0x140976BE0	EXE2j_block_BlockTrans
0x140977880	EXE2j_block_BlockTransSub
0x140977F60	EXE2j_block_BlockTransSubFlash
0x140978460	EXE2j_block_BlockTransSubEdge
0x140978A70	EXE2j_block_BlockColorTrans
0x140978B20	EXE2j_block_bf0_block_move
0x140979450	EXE2j_block_block_check
0x140979A80	EXE2j_block_block_area_stile_check
0x14097A7A0	EXE2j_block_BlockDirectTrans
0x14097AA90	EXE2j_block_BlockFlashFlagClear
0x140B0E3C0	EXE2j_blocksub_BlockWorkInit
0x140B0E4C0	EXE2j_blocksub_BlockStatusSet
0x140B0E590	EXE2j_blocksub_BlockStatusGet
0x140B0E6D0	EXE2j_blocksub_BlockStatusOn
0x140B0E7E0	EXE2j_blocksub_BlockStatusOff
0x140B0E8F0	EXE2j_blocksub_BlockAddrGet
0x140B0EBC0	EXE2j_blocksub_BlockWorkRefreshAll
0x140B0EC80	EXE2j_blocksub_BlockWorkRefresh
0x140B0ED40	EXE2j_blocksub_BlockCrackSet
0x140B0EFB0	EXE2j_blocksub_BlockOutSet
0x140B0F190	EXE2j_blocksub_BlockOutSet2
0x140B0F3E0	EXE2j_blocksub_BlockOutSet3
0x140B0F5E0	EXE2j_blocksub_BlockPoisonSet
0x140B0F780	EXE2j_blocksub_BlockFlash
0x140B0F8B0	EXE2j_blocksub_BlockTypeChange
0x140B0FA50	EXE2j_blocksub_BlockPlEmChange
0x140B0FC40	EXE2j_blocksub_BlockPlEmTimerSet
0x140B0FD30	EXE2j_blocksub_BlockShiftGet
0x140B0FE60	EXE2j_blocksub_BlockShiftSet
0x140B0FFA0	EXE2j_blocksub_BlockTransSet
0x1409590C0	EXE2j_blocksub1_RandomMoveBlockGet
0x1409597A0	EXE2j_blocksub1_RandomMoveClossBlockGet
0x140959EB0	EXE2j_blocksub1_RandomBlockGet
0x14095A530	EXE2j_blocksub1_NoPlLineBlockGet
0x14095A5E0	EXE2j_blocksub1_RandomMoveBlockGet2
0x14095AD40	EXE2j_blocksub1_PlLineBlockGet
0x14095B4C0	EXE2j_blocksub1_CalcFrontOtherBlock
0x14095BBC0	EXE2j_blocksub1_CalcFrontOtherBlock2
0x14095C340	EXE2j_blocksub1_CheckAllBlockTop
0x14095CA10	EXE2j_blocksub1_CheckEmLineHead
0x14095CF90	EXE2j_blocksub1_CheckAllBlockLast
0x14095D5B0	EXE2j_blocksub1_CheckLineLast
0x14095DAF0	EXE2j_blocksub1_CheckAllLineHead
0x14095E160	EXE2j_blocksub1_CheckLineHead
0x14095E720	EXE2j_blocksub1_CheckLine
0x14095ECB0	EXE2j_blocksub1_CountBombSetPos
0x14095F810	EXE2j_blocksub1_CheckCoverEm
0x1409600C0	EXE2j_blocksub1_BlockBackEndGet
0x140960160	EXE2j_blocksub1_BlockRightEndAllGet
0x140960DF0	EXE2j_blocksub1_BlockLeftEndAllGet
0x140961AB0	EXE2j_blocksub1_BlockBackEndGet2
0x140961B50	EXE2j_blocksub1_BlockLeftEndAllGet2
0x140961FB0	EXE2j_blocksub1_BlockLeftEndLineGet2
0x1409624D0	EXE2j_blocksub1_BlockRightEndAllGet2
0x140962930	EXE2j_blocksub1_BlockRightEndLineGet2
0x140962DF0	EXE2j_blocksub1_BlockLineBackEndGet
0x140962EF0	EXE2j_blocksub1_BlockMoveCheck
0x140963040	EXE2j_blocksub1_BlockAllCheckY
0x140963370	EXE2j_blocksub1_CodeToBlock
0x140963470	EXE2j_blocksub1_BlockToCode
0x140963530	EXE2j_blocksub1_BlockExistCheck
0x140963660	EXE2j_blocksub1_BlockTypeNumGet
