0x140BC25E0	EXE3w_bbs_BbsInit
0x140BC29E0	EXE3w_bbs_BbsMain
0x140BC2F60	EXE3w_bbs_bbs_enter
0x140BC3630	EXE3w_bbs_bbs_menu
0x140BC3750	EXE3w_bbs_bbs_exit
0x140BC39F0	EXE3w_bbs_bbs_open
0x140BC3C50	EXE3w_bbs_bbs_read
0x140BC3FB0	EXE3w_bbs_bbs_close
0x140BC41D0	EXE3w_bbs_bbs_open_wait
0x140BC42F0	EXE3w_bbs_bbs_open_new
0x140BC4560	EXE3w_bbs_bbs_read_new
0x140BC46F0	EXE3w_bbs_bbs_close_new
0x140BC4930	EXE3w_bbs_bbs_trans
0x140BC4C60	EXE3w_bbs_bbs_mess_data_uncomp
0x140E7D6C0	EXE3w_bbs2_bbs_scrn_char_init
0x140E7DBF0	EXE3w_bbs2_bbs_buff_set
0x140E7E370	EXE3w_bbs2_bbs_body_set
0x140E7E940	EXE3w_bbs2_bbs_menu_string_char_set
0x140E7F150	EXE3w_bbs2_bbs_new_set2
0x140E7F5B0	EXE3w_bbs2_bbs_new_set
0x140E80370	EXE3w_bbs2_bbs_menu_key_move
0x140E80730	EXE3w_bbs2_bbs_cancel
0x140E808C0	EXE3w_bbs2_bbs_decition
0x140E80C50	EXE3w_bbs2_bbs_mess_win_set
0x140E80FF0	EXE3w_bbs2_bbs_mess_new_win_set
0x140E81370	EXE3w_bbs2_bbs_menu_string_char_set2
0x140E81770	EXE3w_bbs2_bbs_menu_string_scrn_set2
0x140E81AD0	EXE3w_bbs2_bbs_common_clt_set
0x14134F470	EXE3w_bg_BgInit
0x14134F6E0	EXE3w_bg_BgFlash
0x14134F870	EXE3w_bg_BgCtrlSet
0x14134F9C0	EXE3w_bg_DispCtrlSet
0x14134FDF0	EXE3w_bg_BgVramBlankSet
0x14134FF70	EXE3w_bg_BgColorBlankSet
0x1413500A0	EXE3w_bg_BldClear
0x1413501C0	EXE3w_bg_BgColorTrans
0x141350330	EXE3w_bg_BgScrnBuffClear
0x1413ECC60	EXE3w_bgtrans_BgCharInit
0x1413ED3E0	EXE3w_bgtrans_BgCharSet
0x1413EDE10	EXE3w_bgtrans_BgCharMove
0x1413EE5F0	EXE3w_bgtrans_local_GetBgScrnData
0x1413EE9A0	EXE3w_bgtrans_local_PutBgScrnDataReal
0x1413EEDD0	EXE3w_bgtrans_local_BgScrnDataTransXsub
0x1413EF810	EXE3w_bgtrans_local_BgScrnDataTransXadd
0x1413F0250	EXE3w_bgtrans_local_BgScrnDataTransYsub
0x1413F0CA0	EXE3w_bgtrans_local_BgScrnDataTransYadd
0x1413F16E0	EXE3w_bgtrans_local_PutBgScrnDataComp
0x1413F1B40	EXE3w_bgtrans_local_PutBgScrnDataBatt
0x140FB0410	EXE3w_bgtrans2_local_BgScrnInitReal
0x140FB0FB0	EXE3w_bgtrans2_local_BgScrnInitComp
0x140FB1F90	EXE3w_bgtrans2_local_BgScrnInitAllReal
0x140FB2A00	EXE3w_bgtrans2_local_BgScrnInitAllComp
0x14127D5D0	EXE3w_bgwram_local_BgPrintXYLimitWram
0x14127DAE0	EXE3w_bgwram_local_BgClearXYWram
0x14127DFC0	EXE3w_bgwram_local_BgClearXYLimitWram
0x14127E460	EXE3w_bgwram_local_ColFadeTransWram
0x14127E830	EXE3w_bgwram_add_blend
0x14127EA80	EXE3w_bgwram_sub_blend
0x140E1A040	EXE3w_bg_sub_BgPrint
0x140E1A210	EXE3w_bg_sub_BgPrintXYLimit
0x140E1A390	EXE3w_bg_sub_BgPrintXY
0x140E1AA10	EXE3w_bg_sub_BgClearXY
0x140E1AB90	EXE3w_bg_sub_BgClearXYLimit
0x140E1AD10	EXE3w_bg_sub_BgPrintXLoop
0x140E1B1C0	EXE3w_bg_sub_BgPrintYLoop
0x141413180	EXE3w_bg_sub2_BgScrollProcSet
0x141413240	EXE3w_bg_sub2_BgScrollProcReset
0x1414132F0	EXE3w_bg_sub2_BgScrollProc
0x1414133C0	EXE3w_bg_sub2_BgScrollProcVBlank
0x141413490	EXE3w_bg_sub2_Type00VBlank
0x1414134D0	EXE3w_bg_sub2_Type01VBlank
0x1414136A0	EXE3w_bg_sub2_Type02VBlank
0x1414137D0	EXE3w_bg_sub2_Type03VBlank
0x141413900	EXE3w_bg_sub2_Type04VBlank
0x141413A30	EXE3w_bg_sub2_Type05VBlank
0x141413B60	EXE3w_bg_sub2_Type06VBlank
0x141413C90	EXE3w_bg_sub2_TypeXXDummy
0x1411DB300	EXE3w_block_BlockTransInit
0x1411DB7A0	EXE3w_block_block_work_init
0x1411DBAC0	EXE3w_block_block_work_clear
0x1411DBD30	EXE3w_block_BlockMove
0x1411DC270	EXE3w_block_BlockTrans
0x1411DCFA0	EXE3w_block_BlockTransSub
0x1411DD680	EXE3w_block_BlockTransSub2
0x1411DDBE0	EXE3w_block_BlockTransSubFlash
0x1411DE0E0	EXE3w_block_BlockTransSubEdge
0x1411DE6F0	EXE3w_block_BlockColorTrans
0x1411DE7A0	EXE3w_block_bf0_block_move
0x1411DEE30	EXE3w_block_block_check
0x1411DF470	EXE3w_block_block_area_stile_check
0x1411E0190	EXE3w_block_BlockDirectTrans
0x1411E0480	EXE3w_block_BlockFlashFlagClear
0x141446A70	EXE3w_blocksub_BlockWorkInit
0x141446B10	EXE3w_blocksub_BlockStatusSet
0x141446BE0	EXE3w_blocksub_BlockStatusGet
0x141446D20	EXE3w_blocksub_BlockStatusOn
0x141446E30	EXE3w_blocksub_BlockStatusOff
0x141446F40	EXE3w_blocksub_BlockAddrGet
0x141447210	EXE3w_blocksub_BlockWorkRefreshAll
0x1414472D0	EXE3w_blocksub_BlockWorkRefresh
0x141447390	EXE3w_blocksub_BlockCrackSet
0x141447640	EXE3w_blocksub_BlockCrackSet2
0x1414478B0	EXE3w_blocksub_BlockOutSet
0x141447AC0	EXE3w_blocksub_BlockOutSet2
0x141447D50	EXE3w_blocksub_BlockOutSet3
0x141447FE0	EXE3w_blocksub_BlockOutSet4
0x1414481E0	EXE3w_blocksub_BlockPoisonSet
0x141448380	EXE3w_blocksub_BlockFlash
0x1414484F0	EXE3w_blocksub_BlockTypeChange
0x141448690	EXE3w_blocksub_BlockTypeChangeNormalOnly
0x141448950	EXE3w_blocksub_BlockPlEmChange
0x141448B60	EXE3w_blocksub_BlockPlEmTimerSet
0x141448C50	EXE3w_blocksub_BlockTransSet
0x1411B6440	EXE3w_blocksub1_RandomMoveBlockGet
0x1411B6B20	EXE3w_blocksub1_RandomMoveUpDownBlockGet
0x1411B6C00	EXE3w_blocksub1_RandomMoveUpDownLeftBlockGet
0x1411B6CE0	EXE3w_blocksub1_RandomMoveCrossBlockGet
0x1411B6DC0	EXE3w_blocksub1_RandomMoveVicinityBlockGet
0x1411B7510	EXE3w_blocksub1_RandomMoveRotCrossBlockGet
0x1411B7EB0	EXE3w_blocksub1_RandomBlockGet
0x1411B8530	EXE3w_blocksub1_NoPlLineBlockGet
0x1411B8610	EXE3w_blocksub1_RandomMoveBlockGet2
0x1411B8DC0	EXE3w_blocksub1_RandomMoveBlockGet3
0x1411B9500	EXE3w_blocksub1_PlLineBlockGet
0x1411B9C80	EXE3w_blocksub1_CalcFrontOtherBlock
0x1411BA380	EXE3w_blocksub1_CalcFrontOtherBlock2
0x1411BAAF0	EXE3w_blocksub1_CheckAllBlockTop
0x1411BB1C0	EXE3w_blocksub1_CheckEmLineHead
0x1411BB740	EXE3w_blocksub1_CheckAllBlockLast
0x1411BBD60	EXE3w_blocksub1_CheckLineLast
0x1411BC2A0	EXE3w_blocksub1_CheckAllLineHead
0x1411BC910	EXE3w_blocksub1_CheckLineHead
0x1411BCF30	EXE3w_blocksub1_CheckLine
0x1411BD5B0	EXE3w_blocksub1_CountBombSetPos
0x1411BE0C0	EXE3w_blocksub1_CheckCoverEm
0x1411BE970	EXE3w_blocksub1_BlockBackEndGet
0x1411BEA10	EXE3w_blocksub1_BlockRightEndAllGet
0x1411BF6A0	EXE3w_blocksub1_BlockLeftEndAllGet
0x1411C0360	EXE3w_blocksub1_BlockBackEndGet2
0x1411C0400	EXE3w_blocksub1_BlockLeftEndAllGet2
0x1411C0860	EXE3w_blocksub1_BlockLeftEndLineGet2
0x1411C0D80	EXE3w_blocksub1_BlockRightEndAllGet2
0x1411C11E0	EXE3w_blocksub1_BlockRightEndLineGet2
0x1411C16A0	EXE3w_blocksub1_BlockLineBackEndGet
0x1411C17A0	EXE3w_blocksub1_BlockMoveCheck
0x1411C18F0	EXE3w_blocksub1_BlockAllCheckY
0x1411C1C20	EXE3w_blocksub1_CodeToBlock
0x1411C1D70	EXE3w_blocksub1_BlockToCode
0x1411C1E30	EXE3w_blocksub1_BlockExistCheck
0x1411C1F60	EXE3w_blocksub1_BlockTypeNumGet
0x1411C24A0	EXE3w_blocksub1_BlockTypeExceptNumGet
0x141046220	EXE3w_blocksubw_BlockWorkRefreshAllWram
0x141046450	EXE3w_blocksubw_BlockWorkRefreshWram
0x141046A20	EXE3w_blocksubw_BattleHitStatusCheck
0x141046D70	EXE3w_blocksubw_BattleHitBuffAddSubWram
0x1410470E0	EXE3w_blocksubw_BattleHitBuffDelSubWram
0x141047560	EXE3w_blocksubw_BlockChangeAttrCheckWram
0x141047BC0	EXE3w_blocksubw_BlockStatusSetWram
0x141047D80	EXE3w_blocksubw_BlockStatusGetWram
0x141048010	EXE3w_blocksubw_BlockStatusOnWram
0x1410481E0	EXE3w_blocksubw_BattleHitCheckBlock_subWram
0x1410488A0	EXE3w_blocksubw_inv_attr_checkWram
0x141048A30	EXE3w_blocksubw_shadow_attr_checkWram
0x141048BC0	EXE3w_blocksubw_under_attr_checkWram
0x141048D50	EXE3w_blocksubw_BattleHitAllSetWram
0x1414614E0	EXE3w_bscomm_BsCommonPalsy
0x1414615D0	EXE3w_bscomm_BsCommonPalsy_00
0x141461850	EXE3w_bscomm_BsCommonPalsy_01
0x141461B30	EXE3w_bscomm_BsCommonIvy
0x141461C20	EXE3w_bscomm_BsCommonIvy_00
0x141461EA0	EXE3w_bscomm_BsCommonIvy_01
0x141462180	EXE3w_bscomm_BsCommonPush
0x141462270	EXE3w_bscomm_BsCommonPush_00
0x141462680	EXE3w_bscomm_BsCommonPush_01
0x141462BA0	EXE3w_bscomm_BsCommonPush_02
