0x140811110	EXE4b_bbs_BbsInit
0x1400887D0	EXE4b_bbs_BbsMain
0x140811680	EXE4b_bbs_bbs_enter
0x140811C00	EXE4b_bbs_bbs_menu
0x140811DF0	EXE4b_bbs_bbs_exit
0x1408120A0	EXE4b_bbs_bbs_open
0x140812390	EXE4b_bbs_bbs_read
0x140812750	EXE4b_bbs_bbs_close
0x140812B10	EXE4b_bbs_bbs_open_wait
0x140812D60	EXE4b_bbs_bbs_open_new
0x1408130C0	EXE4b_bbs_bbs_read_new
0x140813350	EXE4b_bbs_bbs_close_new
0x140813580	EXE4b_bbs_bbs_trans
0x140813910	EXE4b_bbs_bbs_mess_data_uncomp
0x140897960	EXE4b_bbs2_bbs_scrn_char_init
0x1402ECA80	EXE4b_bbs2_bbs_buff_set
0x1402ED190	EXE4b_bbs2_bbs_body_set
0x140897D70	EXE4b_bbs2_bbs_menu_string_char_set
0x140898580	EXE4b_bbs2_bbs_new_set
0x140899200	EXE4b_bbs2_bbs_new_set2
0x140899640	EXE4b_bbs2_bbs_menu_key_move
0x140899A00	EXE4b_bbs2_bbs_cancel
0x140899B90	EXE4b_bbs2_bbs_decition
0x1402EFBA0	EXE4b_bbs2_bbs_mess_win_set
0x1402EFF20	EXE4b_bbs2_bbs_mess_new_win_set
0x14089A1B0	EXE4b_bbs2_bbs_menu_string_char_set2
0x1402F0690	EXE4b_bbs2_bbs_menu_string_scrn_set2
0x1402F09F0	EXE4b_bbs2_bbs_common_clt_set
0x1402F0C60	EXE4b_bbs2_first_new_check
0x1406BF0A0	EXE4b_bg_BgInit
0x1406BF170	EXE4b_bg_BgFlash
0x1406BF2D0	EXE4b_bg_BgCtrlSet
0x1406BF420	EXE4b_bg_BgCtrlSetField
0x1406BF5E0	EXE4b_bg_DispCtrlSet
0x1406BF970	EXE4b_bg_BgVramBlankSet
0x1406BFB20	EXE4b_bg_BgColorBlankSet
0x1406BFC20	EXE4b_bg_BgColorBlankInit
0x1406BFD60	EXE4b_bg_BldClear
0x1406BFE80	EXE4b_bg_BgColorTrans
0x1406C0000	EXE4b_bg_BgScrnBuffClear
0x1406C00E0	EXE4b_bg_BgDebugFontSet
0x14021F9D0	EXE4b_bgefc_BgEfcExec
0x14021FE40	EXE4b_bgefc_BgEfcKill
0x1402200A0	EXE4b_bgefc_BgEfcKill2
0x140220300	EXE4b_bgefc_BgEfcMove
0x140220560	EXE4b_bgefc_BgEfcMoveCheck
0x1406D0DB0	EXE4b_bgefc00_BgEfc00Move
0x1406D1000	EXE4b_bgefc00_bgefc00_init
0x1406D13E0	EXE4b_bgefc00_bgefc00_main
0x1406D1830	EXE4b_bgefc00_bgefc00_end_ck
0x1406D1B30	EXE4b_bgefc00_bgefc00_se_ck
0x1406D1F20	EXE4b_bgefc00_BgEfc00Stop
0x1407BF3B0	EXE4b_bgefc01_BgEfc01Move
0x1407BF6C0	EXE4b_bgefc01_BgEfc01Stop
0x1407BF9F0	EXE4b_bgefc01_bgefc01_init
0x1407BFD70	EXE4b_bgefc01_bgefc01_main
0x1407C00A0	EXE4b_bgefc01_BgEfc01Move2
0x1407C03B0	EXE4b_bgefc01_BgEfc01Stop2
0x1407C06E0	EXE4b_bgefc01_bgefc01_init2
0x1407C0A60	EXE4b_bgefc01_bgefc01_main2
0x140756BC0	EXE4b_bgefc02_BgEfc02Move
0x140756ED0	EXE4b_bgefc02_BgEfc02Stop
0x140757200	EXE4b_bgefc02_bgefc02_init
0x140757580	EXE4b_bgefc02_bgefc02_main
0x1406A65E0	EXE4b_bgefc03_BgEfc03Move
0x1406A68F0	EXE4b_bgefc03_BgEfc03Stop
0x1406A6C20	EXE4b_bgefc03_bgefc03_init
0x1406A6F80	EXE4b_bgefc03_bgefc03_main
0x14053C100	EXE4b_bgefc04_BgEfc04Move
0x14053C410	EXE4b_bgefc04_BgEfc04Stop
0x14053C740	EXE4b_bgefc04_bgefc04_init
0x14053CAD0	EXE4b_bgefc04_bgefc04_start
0x14053CE20	EXE4b_bgefc04_bgefc04_main
0x14053D160	EXE4b_bgefc04_bgefc04_end
0x14053D460	EXE4b_bgefc04_bgefc04_wait
0x14053D660	EXE4b_bgefc04_bgefc04_disp_sub
0x140104E70	EXE4b_bgefc05_BgEfc05Move
0x140105180	EXE4b_bgefc05_BgEfc05Stop
0x140105400	EXE4b_bgefc05_bgefc05_init
0x140105780	EXE4b_bgefc05_bgefc05_main
0x140105B90	EXE4b_bgefc05_bgefc05_end
0x1401D6610	EXE4b_bgefc06_BgEfc06Move
