0x14139F9F0	EXE5c_bbs_BbsInit
0x140A03B70	EXE5c_bbs_BbsMain
0x14139FE30	EXE5c_bbs_bbs_enter
0x1413A01E0	EXE5c_bbs_bbs_menu
0x1413A03C0	EXE5c_bbs_bbs_exit
0x1413A0660	EXE5c_bbs_bbs_open
0x1413A0A00	EXE5c_bbs_bbs_read
0x1413A0EC0	EXE5c_bbs_bbs_close
0x1413A1280	EXE5c_bbs_bbs_open_wait
0x1413A16B0	EXE5c_bbs_bbs_open_wait_new
0x1413A1AE0	EXE5c_bbs_bbs_open_new
0x1413A1E10	EXE5c_bbs_bbs_read_new
0x1413A2170	EXE5c_bbs_bbs_close_new
0x1413A2390	EXE5c_bbs_bbs_trans
0x1413A26C0	EXE5c_bbs_bbs_mess_data_uncomp
0x140A06B60	EXE5c_bbs_SendBbsFlagOn
0x1413A2960	EXE5c_bbs_BbsBuffInitAll
0x1413A2AD0	EXE5c_bbs_BbsBuffInit
0x140A07320	EXE5c_bbs_BbsFlagAllOn
0x141651790	EXE5c_bbs2_bbs_scrn_char_init
0x140D45C80	EXE5c_bbs2_bbs_buff_set
0x140D46380	EXE5c_bbs2_bbs_body_set
0x1416518D0	EXE5c_bbs2_bbs_menu_string_char_set
0x1416520C0	EXE5c_bbs2_bbs_new_set
0x141652BA0	EXE5c_bbs2_bbs_new_set2
0x141653AD0	EXE5c_bbs2_bbs_menu_key_move
0x141653E90	EXE5c_bbs2_bbs_cancel
0x141654020	EXE5c_bbs2_bbs_decition
0x140D49620	EXE5c_bbs2_bbs_mess_win_set
0x140D499A0	EXE5c_bbs2_bbs_mess_win_clear
0x140D49D60	EXE5c_bbs2_bbs_mess_new_win_set
0x141654610	EXE5c_bbs2_bbs_menu_string_char_set2
0x1416549A0	EXE5c_bbs2_bbs_menu_string_scrn_set2
0x140D4A7D0	EXE5c_bbs2_bbs_common_clt_set
0x140D4AA10	EXE5c_bbs2_first_new_check
0x140D4AE10	EXE5c_bbs2_bbs_cursor_ctrl
0x141654D00	EXE5c_bbs2_bbs_cursor_disp
0x140D4BC60	EXE5c_bbs2_bbs_kensu_set
0x141A47BE0	EXE5c_bg_BgInit
0x141A47CB0	EXE5c_bg_BgFlash
0x1411FA910	EXE5c_bg_BgCtrlSet
0x1411FAA60	EXE5c_bg_BgCtrlSetField
0x141A47E10	EXE5c_bg_DispCtrlSetAll
0x1411FAFB0	EXE5c_bg_DispCtrlSet
0x1411FB030	EXE5c_bg_DispCtrlGet
0x1411FB0B0	EXE5c_bg_DispCtrlBgOfsClear
0x1411FB200	EXE5c_bg_DispCtrlMosaicClear
0x141A481A0	EXE5c_bg_BgVramBlankSet
0x141A48350	EXE5c_bg_BgColorBlankSet
0x141A48450	EXE5c_bg_BgColorBlankInit
0x141A48590	EXE5c_bg_BgColorTrans
0x141A48710	EXE5c_bg_BldClear
0x141A48830	EXE5c_bg_WinClear
0x141A48950	EXE5c_bg_BgScrnBuffClear
0x141A48A30	EXE5c_bg_BgDebugFontSet
0x141598300	EXE5c_bgefc_BgEfcExec
0x141598770	EXE5c_bgefc_BgEfcKill
0x1415989D0	EXE5c_bgefc_BgEfcKill2
0x140C60890	EXE5c_bgefc_BgEfcMove
0x140C60AF0	EXE5c_bgefc_BgEfcMoveCheck
0x141207A90	EXE5c_bgefc00_BgEfc00Move
0x141207CE0	EXE5c_bgefc00_BgEfc00Stop
0x141A53670	EXE5c_bgefc00_bgefc00_init
0x141208350	EXE5c_bgefc00_bgefc00_main
0x141208590	EXE5c_bgefc00_bgefc00_disp_sub
0x1412B2500	EXE5c_bgefc02_BgEfc02Move
0x1412B2810	EXE5c_bgefc02_BgEfc02Stop
0x141ADC640	EXE5c_bgefc02_bgefc02_init
0x1412B2ED0	EXE5c_bgefc02_bgefc02_main
0x140ACBAB0	EXE5c_bgefc05_BgEfc05Move
0x140ACBDC0	EXE5c_bgefc05_BgEfc05Stop
0x14144C1F0	EXE5c_bgefc05_bgefc05_init
0x140ACC3C0	EXE5c_bgefc05_bgefc05_main
0x140ACC7D0	EXE5c_bgefc05_bgefc05_end
0x140C036F0	EXE5c_bgefc06_BgEfc06Move
0x141550930	EXE5c_bgefc06_BgEfc06Stop
0x141550BA0	EXE5c_bgefc06_bgefc06_init
0x141550F40	EXE5c_bgefc06_l0a_20000
0x141550F70	EXE5c_bgefc06_l0b_20001
0x141550FA0	EXE5c_bgefc06_l0c_20002
0x141550FD0	EXE5c_bgefc06_l0d_20003
0x140C04220	EXE5c_bgefc06_bgefc06_main
0x140C04460	EXE5c_bgefc06_bgefc06_disp_sub
0x141262D20	EXE5c_bgefc_sub_BgEfcPrint2
0x141262F10	EXE5c_bgefc_sub_BgEfcPrint
0x1412830C0	EXE5c_bgprint_BgPrint
0x141283290	EXE5c_bgprint_BgPrintXY
0x1412839A0	EXE5c_bgprint_BgPrintXYLimit
0x141283B20	EXE5c_bgprint_BgPrintXYLimitByte
