0x140A037F0	EXE5p_bbs_BbsInit
0x140A03B70	EXE5p_bbs_BbsMain
0x140A04030	EXE5p_bbs_bbs_enter
0x140A043E0	EXE5p_bbs_bbs_menu
0x140A045C0	EXE5p_bbs_bbs_exit
0x140A04860	EXE5p_bbs_bbs_open
0x140A04C00	EXE5p_bbs_bbs_read
0x140A050C0	EXE5p_bbs_bbs_close
0x140A05480	EXE5p_bbs_bbs_open_wait
0x140A058B0	EXE5p_bbs_bbs_open_wait_new
0x140A05CE0	EXE5p_bbs_bbs_open_new
0x140A06010	EXE5p_bbs_bbs_read_new
0x140A06370	EXE5p_bbs_bbs_close_new
0x140A06590	EXE5p_bbs_bbs_trans
0x140A068C0	EXE5p_bbs_bbs_mess_data_uncomp
0x140A06B60	EXE5p_bbs_SendBbsFlagOn
0x140A06E80	EXE5p_bbs_BbsBuffInitAll
0x140A06FF0	EXE5p_bbs_BbsBuffInit
0x140A07320	EXE5p_bbs_BbsFlagAllOn
0x140D45B40	EXE5p_bbs2_bbs_scrn_char_init
0x140D45C80	EXE5p_bbs2_bbs_buff_set
0x140D46380	EXE5p_bbs2_bbs_body_set
0x140D468E0	EXE5p_bbs2_bbs_menu_string_char_set
0x140D470D0	EXE5p_bbs2_bbs_new_set
0x140D47BB0	EXE5p_bbs2_bbs_new_set2
0x140D48AE0	EXE5p_bbs2_bbs_menu_key_move
0x140D48EA0	EXE5p_bbs2_bbs_cancel
0x140D49030	EXE5p_bbs2_bbs_decition
0x140D49620	EXE5p_bbs2_bbs_mess_win_set
0x140D499A0	EXE5p_bbs2_bbs_mess_win_clear
0x140D49D60	EXE5p_bbs2_bbs_mess_new_win_set
0x140D4A0E0	EXE5p_bbs2_bbs_menu_string_char_set2
0x140D4A470	EXE5p_bbs2_bbs_menu_string_scrn_set2
0x140D4A7D0	EXE5p_bbs2_bbs_common_clt_set
0x140D4AA10	EXE5p_bbs2_first_new_check
0x140D4AE10	EXE5p_bbs2_bbs_cursor_ctrl
0x140D4B560	EXE5p_bbs2_bbs_cursor_disp
0x140D4BC60	EXE5p_bbs2_bbs_kensu_set
0x1411FA6E0	EXE5p_bg_BgInit
0x1411FA7B0	EXE5p_bg_BgFlash
0x1411FA910	EXE5p_bg_BgCtrlSet
0x1411FAA60	EXE5p_bg_BgCtrlSetField
0x1411FAC20	EXE5p_bg_DispCtrlSetAll
0x1411FAFB0	EXE5p_bg_DispCtrlSet
0x1411FB030	EXE5p_bg_DispCtrlGet
0x1411FB0B0	EXE5p_bg_DispCtrlBgOfsClear
0x1411FB200	EXE5p_bg_DispCtrlMosaicClear
0x1411FB2D0	EXE5p_bg_BgVramBlankSet
0x1411FB480	EXE5p_bg_BgColorBlankSet
0x1411FB580	EXE5p_bg_BgColorBlankInit
0x1411FB6C0	EXE5p_bg_BgColorTrans
0x1411FB840	EXE5p_bg_BldClear
0x1411FB960	EXE5p_bg_WinClear
0x1411FBA80	EXE5p_bg_BgScrnBuffClear
0x1411FBB60	EXE5p_bg_BgDebugFontSet
0x140C5FF60	EXE5p_bgefc_BgEfcExec
0x140C603D0	EXE5p_bgefc_BgEfcKill
0x140C60630	EXE5p_bgefc_BgEfcKill2
0x140C60890	EXE5p_bgefc_BgEfcMove
0x140C60AF0	EXE5p_bgefc_BgEfcMoveCheck
0x141207A90	EXE5p_bgefc00_BgEfc00Move
0x141207CE0	EXE5p_bgefc00_BgEfc00Stop
0x141208010	EXE5p_bgefc00_bgefc00_init
0x141208350	EXE5p_bgefc00_bgefc00_main
0x141208590	EXE5p_bgefc00_bgefc00_disp_sub
0x1412B2500	EXE5p_bgefc02_BgEfc02Move
0x1412B2810	EXE5p_bgefc02_BgEfc02Stop
0x1412B2B40	EXE5p_bgefc02_bgefc02_init
0x1412B2ED0	EXE5p_bgefc02_bgefc02_main
0x140ACBAB0	EXE5p_bgefc05_BgEfc05Move
0x140ACBDC0	EXE5p_bgefc05_BgEfc05Stop
0x140ACC040	EXE5p_bgefc05_bgefc05_init
0x140ACC3C0	EXE5p_bgefc05_bgefc05_main
0x140ACC7D0	EXE5p_bgefc05_bgefc05_end
0x140C036F0	EXE5p_bgefc06_BgEfc06Move
0x140C03940	EXE5p_bgefc06_BgEfc06Stop
0x140C03BB0	EXE5p_bgefc06_bgefc06_init
0x140C03F50	EXE5p_bgefc06_l0a_20000
0x140C03F80	EXE5p_bgefc06_l0b_20001
0x140C03FB0	EXE5p_bgefc06_l0c_20002
0x140C03FE0	EXE5p_bgefc06_l0d_20003
0x140C04220	EXE5p_bgefc06_bgefc06_main
0x140C04460	EXE5p_bgefc06_bgefc06_disp_sub
0x141262D20	EXE5p_bgefc_sub_BgEfcPrint2
0x141262F10	EXE5p_bgefc_sub_BgEfcPrint
0x1412830C0	EXE5p_bgprint_BgPrint
0x141283290	EXE5p_bgprint_BgPrintXY
0x1412839A0	EXE5p_bgprint_BgPrintXYLimit
0x141283B20	EXE5p_bgprint_BgPrintXYLimitByte
0x141283CA0	EXE5p_bgprint_BgClearXYLimit
0x141283E20	EXE5p_bgprint_BgClearXYLimitByte
0x141283FA0	EXE5p_bgprint_BgPrintXLoop
0x1412844A0	EXE5p_bgprint_BgPrintYLoop
0x141284920	EXE5p_bgprint_BgScrnDataEdit16x16
0x140C20230	EXE5p_bgscr_BgScrollProcSet
0x140C203C0	EXE5p_bgscr_BgScrollProcReset
0x140C20500	EXE5p_bgscr_BgScrollProc
0x140C205D0	EXE5p_bgscr_BgScrollProcVBlank
0x140C206A0	EXE5p_bgscr_Type00VBlank
0x140C206E0	EXE5p_bgscr_Type01VBlank
0x140C208B0	EXE5p_bgscr_Type01VBlank2
0x140C20A80	EXE5p_bgscr_Type02VBlank
0x140C20BB0	EXE5p_bgscr_Type02VBlank2
0x140C20CE0	EXE5p_bgscr_Type03VBlank
0x140C20E10	EXE5p_bgscr_Type03VBlank2
0x140C20F40	EXE5p_bgscr_Type04VBlank
0x140C21070	EXE5p_bgscr_Type05VBlank
0x140C211A0	EXE5p_bgscr_Type05VBlank2
0x140C212D0	EXE5p_bgscr_Type06VBlank
0x140C215D0	EXE5p_bgscr_TypeXXDummy
0x1412A3B80	EXE5p_bgtrans_BgCharInit
0x1412A42A0	EXE5p_bgtrans_BgCharInitBattle
0x1412A4360	EXE5p_bgtrans_BgInScrCheck
0x1412A4DE0	EXE5p_bgtrans_BgCharSet
0x1412A55E0	EXE5p_bgtrans_BgScrollCharSet
0x1412A5990	EXE5p_bgtrans_BgCharMove
0x1412A6170	EXE5p_bgtrans_local_GetBgScrnDataField
0x1412A6530	EXE5p_bgtrans_local_PutBgScrnDataField
0x1412A6940	EXE5p_bgtrans_local_PutBgScrnDataBattle
0x1412A6970	EXE5p_bgtrans_local_PutBgScrnDataField_2
0x1412A6BB0	EXE5p_bgtrans_local_PutBgScrnDataField_3
0x1412A6DF0	EXE5p_bgtrans_local_BgScrnDataTransXsub
0x1412A7840	EXE5p_bgtrans_local_BgScrnDataTransXadd
0x1412A8280	EXE5p_bgtrans_local_BgScrnDataTransYsub
0x1412A8CD0	EXE5p_bgtrans_local_BgScrnDataTransYadd
0x140E362E0	EXE5p_bgtrans2_local_BgScrnInit
0x140E36EE0	EXE5p_bgtrans2_local_BgScrnInitAll
0x140E371C0	EXE5p_bgtrans2_local_BgScrnInitAll_2_sub
0x141126580	EXE5p_bgwram_local_BgPrintXYLimitWram
0x141126A70	EXE5p_bgwram_local_BgPrintXYLimitWramByte
0x141126F60	EXE5p_bgwram_local_BgClearXYLimitWram
0x141127400	EXE5p_bgwram_local_BgClearXYLimitWramByte
0x141127880	EXE5p_bgwram_local_ColFadeTransWram
0x141127C50	EXE5p_bgwram_add_blend
0x141127E50	EXE5p_bgwram_sub_blend
0x141128080	EXE5p_bgwram_local_ColFadeTransWram2
0x141128430	EXE5p_bgwram_add_blend2
0x141128B50	EXE5p_bgwram_sub_blend2
0x1410AA390	EXE5p_block_BlockTransInit
0x1410AA770	EXE5p_block_BlockMove
0x1410AACF0	EXE5p_block_BlockTransSub
0x1410AB350	EXE5p_block_BlockTransSubFlash
0x1410AB820	EXE5p_block_BlockTransSubEdge
0x1410ABD40	EXE5p_block_BlockTransSubNoEdge
0x1410AC1F0	EXE5p_block_BlockColorTrans
0x1410AC7F0	EXE5p_block_block_check_sub
0x1410AD220	EXE5p_block_BattleBlockInit
0x1410ADF90	EXE5p_block_BlockTrans
0x1410AE890	EXE5p_block_SetStealBlockCheckTable
0x1410AF220	EXE5p_block__get_field_tbl_adrs
0x1410AF2D0	EXE5p_block__get_block_work_adrs
0x1410AF3F0	EXE5p_block__steal_block_exist_check
0x1410AFCC0	EXE5p_block__steal_block_check
0x1410B1070	EXE5p_block__steal_block_return
0x1410B15B0	EXE5p_block__set_steal_block_check_data
0x1410B1AD0	EXE5p_block__check_area_return
0x1410B2280	EXE5p_block__check_em_exist
0x1410B2810	EXE5p_block__set_plem_change_request
0x1410B3170	EXE5p_block__get_block_plem_work_adrs
0x140EF6C70	EXE5p_blocksubw_BlockWorkRefreshAllWram
0x140EF7060	EXE5p_blocksubw_BlockWorkRefreshWram
0x140EF73C0	EXE5p_blocksubw_BlockAdrsGetWram
0x140EF7650	EXE5p_blocksubw_BattleHitStatusCheckWram
0x140E01870	EXE5p_block_sub_BlockWorkInit
0x140E01910	EXE5p_block_sub_BlockStatusGet
0x140E019E0	EXE5p_block_sub_BlockAdrsGet
0x140E01AA0	EXE5p_block_sub_BlockWorkRefreshAll
0x140E01B60	EXE5p_block_sub_BlockWorkRefresh
0x140E01C20	EXE5p_block_sub_BlockCrackSet
0x140E01EC0	EXE5p_block_sub_BlockCrackSet2
0x140E02160	EXE5p_block_sub_BlockOutSet
0x140E02380	EXE5p_block_sub_BlockOutSet2
0x140E02650	EXE5p_block_sub_BlockOutSet3
0x140E02880	EXE5p_block_sub_BlockOutSet4
0x140E02AB0	EXE5p_block_sub_BlockOutSet5
0x140E02CE0	EXE5p_block_sub_BlockPoisonSet
0x140E02EA0	EXE5p_block_sub_BlockFlash
0x140E03020	EXE5p_block_sub_BlockTypeChange
0x140E032D0	EXE5p_block_sub_BlockPlEmChange
0x140E034E0	EXE5p_block_sub_BlockPlEmTimerSet
0x140E035B0	EXE5p_block_sub_BlockPlEmTimerReset
0x140E036D0	EXE5p_block_sub_BlockTransSet
0x140E038B0	EXE5p_block_sub_BlockInScreenCheck
0x140E03980	EXE5p_block_sub_BlockInScreenCheckSub
0x140E03AF0	EXE5p_block_sub_BlockMoveCheck
0x140E03CC0	EXE5p_block_sub_BlockExistCheck
0x140E03D90	EXE5p_block_sub_BlockExistCheckSub
0x140E03E90	EXE5p_block_sub_HitBlockFlash
0x140E03FA0	EXE5p_block_sub_HitBlockFlashSub
0x140E044F0	EXE5p_block_sub_BlockTypeNumGet
0x140E04A40	EXE5p_block_sub_BlockTypeNumGet2
0x140E05150	EXE5p_block_sub_BlockTransOff
0x140E05240	EXE5p_block_sub_BlockTransOn
0x140C77B70	EXE5p_block_sub1_RandomMoveBlockGet
0x140C782F0	EXE5p_block_sub1_RandomMoveBlockGet2
0x140C78A20	EXE5p_block_sub1_BlockCodeGetBlockX_noY_Auto
0x140C78DF0	EXE5p_block_sub1_BlockCodeGetBlockX_noY
0x140C793D0	EXE5p_block_sub1_BlockCodeGetNoBlockX
0x140C79AC0	EXE5p_block_sub1_BlockCodeGetNoBlockY
0x140C7A1D0	EXE5p_block_sub1_BlockCodeGetBlockX
0x140C7A920	EXE5p_block_sub1_BlockCodeGetBlockY
0x140C7B060	EXE5p_block_sub1_GetPlBlockY
0x140C7B280	EXE5p_block_sub1_GetPlBlockXY
0x140C7B400	EXE5p_block_sub1_CheckLineHeadBlock
0x140C7BB30	EXE5p_block_sub1_CheckLineHeadBlockSub
0x140C7BF90	EXE5p_block_sub1_CheckLineHeadBlockSub2
0x140C7C4B0	EXE5p_block_sub1_CheckColmunHeadBlockSub
0x140C7C910	EXE5p_block_sub1_CheckLineFarBlockSub
0x140C7CED0	EXE5p_block_sub1_CheckColmunFarBlockSub
0x140C7D480	EXE5p_block_sub1_GetHeadBlockX
0x140C7DB30	EXE5p_block_sub1_CheckForwordBlock
0x140C7E1F0	EXE5p_block_sub1_CheckForwordBlock2
0x140C7E840	EXE5p_block_sub1_CheckForwordBlock3
0x140C7EF10	EXE5p_block_sub1_OffsetTableBlockGet
0x1412F1250	EXE5p_block_sub2_GetTargetBlockXY
0x1412F1390	EXE5p_block_sub2_GetPanelStealBlockXY
0x1412F1480	EXE5p_block_sub2_GetPanelStealBlockXYSub
0x1412F1830	EXE5p_block_sub2_panel_steal_check_start_x_get
0x1412F1C00	EXE5p_block_sub2_GetAreaStealBlockX
0x1412F1F70	EXE5p_block_sub2__area_steal_check_start_x_get
0x1412F2490	EXE5p_block_sub2_AnotherBlockExistCheck
0x1412F2A50	EXE5p_block_sub2_StealBlockCheck
0x1412F2C00	EXE5p_block_sub2_StealBlockEnableCheck
0x1412F2FB0	EXE5p_block_sub2_StealBlockEnableCheckSub
0x1412F3850	EXE5p_block_sub2_steal_block_check
0x1412F3E80	EXE5p_block_sub2_BlockXPlEmCheck
0x140F4FCB0	EXE5p_bombe_BombeInit
0x140F50050	EXE5p_bombe_BombeProcStop
0x140F50360	EXE5p_bombe_BombeProcExec
0x140F50670	EXE5p_bombe_BombeDispOn
0x140F50980	EXE5p_bombe_BombeDispOff
0x140F50C90	EXE5p_bombe_BombeDamageSet
0x140F50FC0	EXE5p_bombe_BombeRecSet
0x140F512D0	EXE5p_bombe_BombeWarpNoSet
0x140F51590	EXE5p_bombe_BombeDamageCheck
0x140F51850	EXE5p_bombe_BombeMutekiSet
0x140F51B20	EXE5p_bombe_BombeMutekiCheck
0x140F51DE0	EXE5p_bombe_BombeDisp
0x140F521F0	EXE5p_bombe_proc_00
0x140F52B20	EXE5p_bombe_proc_01
0x140F52F10	EXE5p_bombe_BombeDemoExec
0x140F53300	EXE5p_bombe_bombe_disp_check
0x140F53610	EXE5p_bombe_bombe_rec_check
0x1410F54B0	EXE5p_boss_BossMove
0x1410F5590	EXE5p_boss_boss_move
0x1410F5800	EXE5p_boss_BossOjamaCheck
0x1410F5D00	EXE5p_boss__dummy_func
0x140FE6520	EXE5p_bs00act_Bs00ActCheck
0x140FE66E0	EXE5p_bs00act_bs00_act_main
0x140FE6850	EXE5p_bs00act_bs00_act_chip
0x140FE6930	EXE5p_bs00act_Bs00Proc
0x140EFA090	EXE5p_bs01act_Bs01ActCheck
0x140EFA1E0	EXE5p_bs01act_bs01_act_main
0x140EFAB60	EXE5p_bs01act_bs01_act_shift_wait
0x140EFAD60	EXE5p_bs01act_bs01_act_shield_wait
0x140EFB210	EXE5p_bs01act_bs01_act_surprize_sword
0x140EFB4F0	EXE5p_bs01act_bs01_act_combination_check_shadow
0x140EFB810	EXE5p_bs01act_bs01_act_ds_common
0x140EFB900	EXE5p_bs01act_bs01_act_dark_edge_shift
0x140EFBBB0	EXE5p_bs01act_bs01_act_dark_edge
0x140EFBD70	EXE5p_bs01act_TargetFixedInvCheck
0x140EFBEB0	EXE5p_bs01act_Bs01Proc
0x140EFBF50	EXE5p_bs01act_Bs01ShiftPosCheck
0x140EFBFF0	EXE5p_bs01act_Bs01FighterSwordShiftPosCheck
0x140EFC0C0	EXE5p_bs01act_Bs01FighterSwordShiftPosCheckNormal
0x140EFC370	EXE5p_bs01act_Bs01FighterSwordShiftPosCheckBlindConf
0x140EFC6D0	EXE5p_bs01act_Bs01InitProc
0x140EFC8E0	EXE5p_bs01act__bs01_sword_kind_check
0x140EFCBA0	EXE5p_bs01act__bs01_conbination_num_check
0x140EFCD20	EXE5p_bs01act__bs01_surprize_sword_exec_check
0x140EFCEA0	EXE5p_bs01act__bs01_area_steal_check
0x140EFD140	EXE5p_bs01act__bs01_area_steal_exec_check
0x140EFD280	EXE5p_bs01act_bs01_sword_col_set
0x1413465F0	EXE5p_bs01atk_Bs01AtkShift
0x1413466E0	EXE5p_bs01atk_bs01_shift_00
0x1413469C0	EXE5p_bs01atk_bs01_shift_01
0x141346C30	EXE5p_bs01atk_bs01_shift_02
0x141346DF0	EXE5p_bs01atk_bs01_shift_03
0x141346F00	EXE5p_bs01atk_Bs01AtkSurprizeSword
0x141346FF0	EXE5p_bs01atk_bs01_surprize_sword_00
0x141347440	EXE5p_bs01atk_bs01_surprize_sword_01
0x1413477D0	EXE5p_bs01atk_bs01_surprize_sword_02
0x1413479D0	EXE5p_bs01atk_bs01_surprize_sword_03
0x141347EC0	EXE5p_bs01atk_bs01_surprize_sword_04
0x141348130	EXE5p_bs01atk_bs01_surprize_sword_05
0x141348410	EXE5p_bs01atk_bs01_surprize_sword_06
0x141348790	EXE5p_bs01atk_bs01_surprize_sword_07
0x1413489D0	EXE5p_bs01atk__bs01_surprize_sword_shift_pos_check
0x141348BC0	EXE5p_bs01atk__bs01_wide_sword_shift_pos_check
0x141348CA0	EXE5p_bs01atk__bs01_wide_sword_shift_pos_check_normal
0x141348E80	EXE5p_bs01atk__bs01_wide_sword_shift_pos_check_blind_conf
0x141349160	EXE5p_bs01atk__bs01_wide_sword_atari_set
0x141349190	EXE5p_bs01atk__bs01_surprize_sword_atari_set
0x1413495B0	EXE5p_bs01atk__bs01_fighter_sword_atari_set
0x1413499D0	EXE5p_bs01atk_Bs01AtkDeltaLayEdge
0x141349AC0	EXE5p_bs01atk_bs01_delta_lay_edge_00
0x141349D90	EXE5p_bs01atk_bs01_delta_lay_edge_01
0x14134A230	EXE5p_bs01atk_bs01_delta_lay_edge_02
0x14134A430	EXE5p_bs01atk_bs01_delta_lay_edge_03
0x14134A660	EXE5p_bs01atk_bs01_delta_lay_edge_04
0x14134AA00	EXE5p_bs01atk_bs01_delta_lay_edge_05
0x14134AC60	EXE5p_bs01atk_bs01_delta_lay_edge_06
0x14134AEE0	EXE5p_bs01atk_bs01_delta_lay_edge_07
0x14134B0B0	EXE5p_bs01atk_bs01_delta_lay_edge_08
0x14134B300	EXE5p_bs01atk_Navi07_DLE_EfcSet
0x14134B390	EXE5p_bs01atk_bs01_DLE_efc_set
0x14134B610	EXE5p_bs01atk__bs01_delta_lay_edge_atari_set
0x14134BA30	EXE5p_bs01atk_Bs01AtkDarkEdge
0x14134BB20	EXE5p_bs01atk_bs01_dark_edge_00
0x14134BE00	EXE5p_bs01atk_bs01_dark_edge_01
0x14134BED0	EXE5p_bs01atk_bs01_dark_edge_02
0x14134BFE0	EXE5p_bs01atk_bs01_dark_edge_03
0x14134C290	EXE5p_bs01atk_bs01_dark_edge_04
0x14134C480	EXE5p_bs01atk_bs01_dark_edge_05
0x14134C800	EXE5p_bs01atk_bs01_dark_edge_06
0x14134C9F0	EXE5p_bs01atk_bs01_dark_edge_07
0x14134CC30	EXE5p_bs01atk_bs01_dark_edge_08
0x14134CEA0	EXE5p_bs01atk_bs01_dark_edge_09
0x14134D0D0	EXE5p_bs01atk_bs01_dark_edge_blues_shadow_set
0x14134D520	EXE5p_bs01atk_bs01_dark_edge_shift_pos_check
0x14134D790	EXE5p_bs01atk__bs01_dark_edge_atari_set
0x14134DBA0	EXE5p_bs01atk_Bs01AtkShield
0x14134DCD0	EXE5p_bs01atk_bs01_shield_00
0x14134E260	EXE5p_bs01atk_Bs01AtkShadowSlash
