0x1404F6AC0	EXE2j_bbs_BbsInit
0x1404F6D30	EXE2j_bbs_BbsMain
0x1404F6EC0	EXE2j_bbs_bbs_enter
0x1404F75A0	EXE2j_bbs_bbs_menu
0x1404F76C0	EXE2j_bbs_bbs_exit
0x1404F7950	EXE2j_bbs_bbs_read
0x1404F7C80	EXE2j_bbs_bbs_trans
0x1404F7FE0	EXE2j_bbs_bbs_mess_data_uncomp
0x140726720	EXE2j_bbs2_bbs_body_set
0x140726A50	EXE2j_bbs2_bbs_menu_string_char_set
0x140727340	EXE2j_bbs2_bbs_new_set
0x140727FF0	EXE2j_bbs2_bbs_menu_key_move
0x1407282A0	EXE2j_bbs2_bbs_cancel
0x140728430	EXE2j_bbs2_bbs_decition
0x140728600	EXE2j_bbs2_bbs_key_limit_check
0x140A69380	EXE2j_bg_BgInit
0x140A69570	EXE2j_bg_BgFlash
0x140A696C0	EXE2j_bg_BgCtrlSet
0x140A69800	EXE2j_bg_DispCtrlSet
0x140A69C10	EXE2j_bg_bld00_proc
0x140A69E50	EXE2j_bg_bld01_proc
0x140A6A0B0	EXE2j_bg_bld10_proc
0x140A6A2D0	EXE2j_bg_bld11_proc
0x140A6A4F0	EXE2j_bg_BgVramBlankSet
0x140A6A6A0	EXE2j_bg_BgColorBlankSet
0x140A6A800	EXE2j_bg_BldClear
0x140A6A920	EXE2j_bg_BgColorTrans
0x140A6AA90	EXE2j_bg_BgScrnBuffClear
0x140ACDB00	EXE2j_bgtrans_BgCharInit
0x140ACDFD0	EXE2j_bgtrans_BgCharSet
0x140ACE800	EXE2j_bgtrans_BgCharMove
0x140ACECA0	EXE2j_bgtrans_GetBgScrnData
0x140ACF050	EXE2j_bgtrans_PutBgScrnDataReal
0x140ACF480	EXE2j_bgtrans_BgScrnDataTransXsub
0x140ACFEC0	EXE2j_bgtrans_BgScrnDataTransXadd
0x140AD0900	EXE2j_bgtrans_BgScrnDataTransYsub
0x140AD1350	EXE2j_bgtrans_BgScrnDataTransYadd
0x140AD1D90	EXE2j_bgtrans_PutBgScrnDataComp
0x140AD21F0	EXE2j_bgtrans_PutBgScrnDataBatt
0x140AD24A0	EXE2j_bgtrans_BgScrnInitReal
0x1407E3970	EXE2j_bgtrans2_BgScrnInitComp
0x1407E4950	EXE2j_bgtrans2_BgScrnInitAllReal
0x1407E53C0	EXE2j_bgtrans2_BgScrnInitAllComp
0x1409E1100	EXE2j_bgwram_BgPrintXLimitWram
0x1409E14D0	EXE2j_bgwram_BgPrintYLimitWram
0x1409E18B0	EXE2j_bgwram_BgPrintXYLimitWram
0x1409E1DC0	EXE2j_bgwram_BgClearXYWram
0x1409E22A0	EXE2j_bgwram_BgClearXYLimitWram
0x1409E2740	EXE2j_bgwram_ColFadeTransWram
0x1409E2B00	EXE2j_bgwram_add_blend
0x1409E2D50	EXE2j_bgwram_sub_blend
0x1406DFB70	EXE2j_bg_sub_BgPrint
0x1406DFD40	EXE2j_bg_sub_BgPrintX
0x1406E0070	EXE2j_bg_sub_BgPrintY
0x1406E03A0	EXE2j_bg_sub_BgPrintXY
0x1406E0910	EXE2j_bg_sub_BgClearXY
0x1406E09C0	EXE2j_bg_sub_BgClearXYLimit
0x1406E0A70	EXE2j_bg_sub_BgPrintXLoop
0x1406E0E00	EXE2j_bg_sub_BgPrintYLoop
0x1406E11B0	EXE2j_bg_sub_BgPrintXLimit
0x1406E1260	EXE2j_bg_sub_BgPrintYLimit
0x1406E1310	EXE2j_bg_sub_BgPrintXYLimit
0x140AEB280	EXE2j_bg_sub2_BgScrollProcSet
0x140AEB3D0	EXE2j_bg_sub2_BgScrollProcReset
0x140AEB510	EXE2j_bg_sub2_BgScrollProc
0x140AEB5E0	EXE2j_bg_sub2_BgScrollProcVBlank
0x140AEB6B0	EXE2j_bg_sub2_Type00BgInitScroll
0x140AEBAC0	EXE2j_bg_sub2_Type00BgScroll
0x140AEBC80	EXE2j_bg_sub2_Type00VBlank
0x140AEBCC0	EXE2j_bg_sub2_Type01VBlank
0x140AEBE90	EXE2j_bg_sub2_Type02VBlank
0x140AEBFB0	EXE2j_bg_sub2_Type03VBlank
0x140AEC0D0	EXE2j_bg_sub2_TypeXXDummy
0x140639080	EXE2j_bg_sub3_ScrChgTransInit
0x140639160	EXE2j_bg_sub3_ScrChgTransSet
0x140639530	EXE2j_bg_sub3_ScrChgTrans
0x1406399E0	EXE2j_bg_sub3_ScrChgTransVram
0x140639B80	EXE2j_bg_sub3_ScrChgTransScrn
0x14063A020	EXE2j_bg_sub3_ScrChgTransVram2
0x14063A860	EXE2j_bg_sub3_vram2_no_flip
0x14063A990	EXE2j_bg_sub3_vram2_h_flip
0x14063C140	EXE2j_bg_sub3_vram2_v_flip
0x14063C270	EXE2j_bg_sub3_vram2_hv_flip
0x14063DA10	EXE2j_bg_sub3_ScrChgTransFade
0x14063DCB0	EXE2j_bg_sub3_ScrChgTransSeCall
0x14063DE40	EXE2j_bg_sub3_ScrChgTransSetAll
0x14063E040	EXE2j_bg_sub3_ColFadeSet
0x14063E240	EXE2j_bg_sub3_ColFadeKill
0x14063E370	EXE2j_bg_sub3_ColFadeKillAll
0x14063E450	EXE2j_bg_sub3_ColFadeCheck
0x14063E610	EXE2j_bg_sub3_ColFadeTrans
0x140975F60	EXE2j_block_BlockTransInit
0x1409763E0	EXE2j_block_block_work_init
0x140976700	EXE2j_block_block_work_clear
0x140976970	EXE2j_block_BlockMove
0x140976DF0	EXE2j_block_BlockTrans
0x140977A90	EXE2j_block_BlockTransSub
0x140978170	EXE2j_block_BlockTransSubFlash
0x140978670	EXE2j_block_BlockTransSubEdge
0x140978C80	EXE2j_block_BlockColorTrans
0x140978D30	EXE2j_block_bf0_block_move
0x140979660	EXE2j_block_block_check
0x140979C90	EXE2j_block_block_area_stile_check
0x14097A9B0	EXE2j_block_BlockDirectTrans
