0x1413A02D0	EXE5c_bbs_BbsInit
0x140A03F60	EXE5c_bbs_BbsMain
0x1413A0710	EXE5c_bbs_bbs_enter
0x1413A0AC0	EXE5c_bbs_bbs_menu
0x1413A0CA0	EXE5c_bbs_bbs_exit
0x1413A0F40	EXE5c_bbs_bbs_open
0x1413A12E0	EXE5c_bbs_bbs_read
0x1413A17A0	EXE5c_bbs_bbs_close
0x1413A1B60	EXE5c_bbs_bbs_open_wait
0x1413A1F90	EXE5c_bbs_bbs_open_wait_new
0x1413A23C0	EXE5c_bbs_bbs_open_new
0x1413A26F0	EXE5c_bbs_bbs_read_new
0x1413A2A50	EXE5c_bbs_bbs_close_new
0x1413A2C70	EXE5c_bbs_bbs_trans
0x1413A2FA0	EXE5c_bbs_bbs_mess_data_uncomp
0x140A06F50	EXE5c_bbs_SendBbsFlagOn
0x1413A3240	EXE5c_bbs_BbsBuffInitAll
0x1413A33B0	EXE5c_bbs_BbsBuffInit
0x140A07710	EXE5c_bbs_BbsFlagAllOn
0x141652070	EXE5c_bbs2_bbs_scrn_char_init
0x140D46070	EXE5c_bbs2_bbs_buff_set
0x140D46770	EXE5c_bbs2_bbs_body_set
0x1416521B0	EXE5c_bbs2_bbs_menu_string_char_set
0x1416529A0	EXE5c_bbs2_bbs_new_set
0x141653480	EXE5c_bbs2_bbs_new_set2
0x1416543B0	EXE5c_bbs2_bbs_menu_key_move
0x141654770	EXE5c_bbs2_bbs_cancel
0x141654900	EXE5c_bbs2_bbs_decition
0x140D49A10	EXE5c_bbs2_bbs_mess_win_set
0x140D49D90	EXE5c_bbs2_bbs_mess_win_clear
0x140D4A150	EXE5c_bbs2_bbs_mess_new_win_set
0x141654EF0	EXE5c_bbs2_bbs_menu_string_char_set2
0x141655280	EXE5c_bbs2_bbs_menu_string_scrn_set2
0x140D4ABC0	EXE5c_bbs2_bbs_common_clt_set
0x140D4AE00	EXE5c_bbs2_first_new_check
0x140D4B200	EXE5c_bbs2_bbs_cursor_ctrl
0x1416555E0	EXE5c_bbs2_bbs_cursor_disp
0x140D4C050	EXE5c_bbs2_bbs_kensu_set
0x141A48510	EXE5c_bg_BgInit
0x141A485E0	EXE5c_bg_BgFlash
0x1411FB1D0	EXE5c_bg_BgCtrlSet
0x1411FB320	EXE5c_bg_BgCtrlSetField
0x141A48740	EXE5c_bg_DispCtrlSetAll
0x1411FB870	EXE5c_bg_DispCtrlSet
0x1411FB8F0	EXE5c_bg_DispCtrlGet
0x1411FB970	EXE5c_bg_DispCtrlBgOfsClear
0x1411FBAC0	EXE5c_bg_DispCtrlMosaicClear
0x141A48AD0	EXE5c_bg_BgVramBlankSet
0x141A48C80	EXE5c_bg_BgColorBlankSet
0x141A48D80	EXE5c_bg_BgColorBlankInit
0x141A48EC0	EXE5c_bg_BgColorTrans
0x141A49040	EXE5c_bg_BldClear
0x141A49160	EXE5c_bg_WinClear
0x141A49280	EXE5c_bg_BgScrnBuffClear
0x141A49360	EXE5c_bg_BgDebugFontSet
0x141598BE0	EXE5c_bgefc_BgEfcExec
0x141599050	EXE5c_bgefc_BgEfcKill
0x1415992B0	EXE5c_bgefc_BgEfcKill2
0x140C60C80	EXE5c_bgefc_BgEfcMove
0x140C60EE0	EXE5c_bgefc_BgEfcMoveCheck
0x141208350	EXE5c_bgefc00_BgEfc00Move
0x1412085A0	EXE5c_bgefc00_BgEfc00Stop
0x141A53FA0	EXE5c_bgefc00_bgefc00_init
0x141208C10	EXE5c_bgefc00_bgefc00_main
0x141208E50	EXE5c_bgefc00_bgefc00_disp_sub
0x1412B2DC0	EXE5c_bgefc02_BgEfc02Move
0x1412B30D0	EXE5c_bgefc02_BgEfc02Stop
0x141ADCF70	EXE5c_bgefc02_bgefc02_init
0x1412B3790	EXE5c_bgefc02_bgefc02_main
0x140ACBEA0	EXE5c_bgefc05_BgEfc05Move
0x140ACC1B0	EXE5c_bgefc05_BgEfc05Stop
0x14144CAD0	EXE5c_bgefc05_bgefc05_init
0x140ACC7B0	EXE5c_bgefc05_bgefc05_main
0x140ACCBC0	EXE5c_bgefc05_bgefc05_end
0x140C03AE0	EXE5c_bgefc06_BgEfc06Move
0x141551210	EXE5c_bgefc06_BgEfc06Stop
0x141551480	EXE5c_bgefc06_bgefc06_init
0x141551820	EXE5c_bgefc06_l0a_20000
0x141551850	EXE5c_bgefc06_l0b_20001
0x141551880	EXE5c_bgefc06_l0c_20002
0x1415518B0	EXE5c_bgefc06_l0d_20003
0x140C04610	EXE5c_bgefc06_bgefc06_main
0x140C04850	EXE5c_bgefc06_bgefc06_disp_sub
0x1412635E0	EXE5c_bgefc_sub_BgEfcPrint2
0x1412637D0	EXE5c_bgefc_sub_BgEfcPrint
