0x140BC27F0	EXE3w_bbs_BbsInit
0x140BC2BF0	EXE3w_bbs_BbsMain
0x140BC3170	EXE3w_bbs_bbs_enter
0x140BC3840	EXE3w_bbs_bbs_menu
0x140BC3960	EXE3w_bbs_bbs_exit
0x140BC3C00	EXE3w_bbs_bbs_open
0x140BC3E60	EXE3w_bbs_bbs_read
0x140BC41C0	EXE3w_bbs_bbs_close
0x140BC43E0	EXE3w_bbs_bbs_open_wait
0x140BC4500	EXE3w_bbs_bbs_open_new
0x140BC4770	EXE3w_bbs_bbs_read_new
0x140BC4900	EXE3w_bbs_bbs_close_new
0x140BC4B40	EXE3w_bbs_bbs_trans
0x140BC4E70	EXE3w_bbs_bbs_mess_data_uncomp
0x140E7D8D0	EXE3w_bbs2_bbs_scrn_char_init
0x140E7DE00	EXE3w_bbs2_bbs_buff_set
0x140E7E580	EXE3w_bbs2_bbs_body_set
0x140E7EB50	EXE3w_bbs2_bbs_menu_string_char_set
0x140E7F360	EXE3w_bbs2_bbs_new_set2
0x140E7F7C0	EXE3w_bbs2_bbs_new_set
0x140E80580	EXE3w_bbs2_bbs_menu_key_move
0x140E80940	EXE3w_bbs2_bbs_cancel
0x140E80AD0	EXE3w_bbs2_bbs_decition
0x140E80E60	EXE3w_bbs2_bbs_mess_win_set
0x140E81200	EXE3w_bbs2_bbs_mess_new_win_set
0x140E81580	EXE3w_bbs2_bbs_menu_string_char_set2
0x140E81980	EXE3w_bbs2_bbs_menu_string_scrn_set2
0x140E81CE0	EXE3w_bbs2_bbs_common_clt_set
0x14134F690	EXE3w_bg_BgInit
0x14134F900	EXE3w_bg_BgFlash
0x14134FA90	EXE3w_bg_BgCtrlSet
0x14134FBE0	EXE3w_bg_DispCtrlSet
0x141350010	EXE3w_bg_BgVramBlankSet
0x141350190	EXE3w_bg_BgColorBlankSet
0x1413502C0	EXE3w_bg_BldClear
0x1413503E0	EXE3w_bg_BgColorTrans
0x141350550	EXE3w_bg_BgScrnBuffClear
0x1413ECE80	EXE3w_bgtrans_BgCharInit
0x1413ED600	EXE3w_bgtrans_BgCharSet
0x1413EE030	EXE3w_bgtrans_BgCharMove
0x1413EE810	EXE3w_bgtrans_local_GetBgScrnData
0x1413EEBC0	EXE3w_bgtrans_local_PutBgScrnDataReal
0x1413EEFF0	EXE3w_bgtrans_local_BgScrnDataTransXsub
0x1413EFA30	EXE3w_bgtrans_local_BgScrnDataTransXadd
0x1413F0470	EXE3w_bgtrans_local_BgScrnDataTransYsub
0x1413F0EC0	EXE3w_bgtrans_local_BgScrnDataTransYadd
0x1413F1900	EXE3w_bgtrans_local_PutBgScrnDataComp
0x1413F1D60	EXE3w_bgtrans_local_PutBgScrnDataBatt
0x140FB0630	EXE3w_bgtrans2_local_BgScrnInitReal
0x140FB11D0	EXE3w_bgtrans2_local_BgScrnInitComp
0x140FB21B0	EXE3w_bgtrans2_local_BgScrnInitAllReal
0x140FB2C20	EXE3w_bgtrans2_local_BgScrnInitAllComp
0x14127D7F0	EXE3w_bgwram_local_BgPrintXYLimitWram
0x14127DD00	EXE3w_bgwram_local_BgClearXYWram
0x14127E1E0	EXE3w_bgwram_local_BgClearXYLimitWram
0x14127E680	EXE3w_bgwram_local_ColFadeTransWram
0x14127EA50	EXE3w_bgwram_add_blend
