0x1400885A0	EXE4r_bbs_BbsInit
0x140088990	EXE4r_bbs_BbsMain
0x140088F10	EXE4r_bbs_bbs_enter
0x140089490	EXE4r_bbs_bbs_menu
0x140089680	EXE4r_bbs_bbs_exit
0x140089930	EXE4r_bbs_bbs_open
0x140089C20	EXE4r_bbs_bbs_read
0x140089FE0	EXE4r_bbs_bbs_close
0x14008A3A0	EXE4r_bbs_bbs_open_wait
0x14008A5F0	EXE4r_bbs_bbs_open_new
0x14008A950	EXE4r_bbs_bbs_read_new
0x14008ABE0	EXE4r_bbs_bbs_close_new
0x14008AE10	EXE4r_bbs_bbs_trans
0x14008B1A0	EXE4r_bbs_bbs_mess_data_uncomp
0x1402EC830	EXE4r_bbs2_bbs_scrn_char_init
0x1402ECC40	EXE4r_bbs2_bbs_buff_set
0x1402ED350	EXE4r_bbs2_bbs_body_set
0x1402ED920	EXE4r_bbs2_bbs_menu_string_char_set
0x1402EE130	EXE4r_bbs2_bbs_new_set
0x1402EEDB0	EXE4r_bbs2_bbs_new_set2
0x1402EF1F0	EXE4r_bbs2_bbs_menu_key_move
0x1402EF5B0	EXE4r_bbs2_bbs_cancel
0x1402EF740	EXE4r_bbs2_bbs_decition
0x1402EFD60	EXE4r_bbs2_bbs_mess_win_set
0x1402F00E0	EXE4r_bbs2_bbs_mess_new_win_set
0x1402F0460	EXE4r_bbs2_bbs_menu_string_char_set2
0x1402F0850	EXE4r_bbs2_bbs_menu_string_scrn_set2
0x1402F0BB0	EXE4r_bbs2_bbs_common_clt_set
0x1402F0E20	EXE4r_bbs2_first_new_check
0x1406BF300	EXE4r_bg_BgInit
0x1406BF3D0	EXE4r_bg_BgFlash
0x1406BF530	EXE4r_bg_BgCtrlSet
0x1406BF680	EXE4r_bg_BgCtrlSetField
0x1406BF840	EXE4r_bg_DispCtrlSet
0x1406BFBD0	EXE4r_bg_BgVramBlankSet
0x1406BFD80	EXE4r_bg_BgColorBlankSet
0x1406BFE80	EXE4r_bg_BgColorBlankInit
0x1406BFFC0	EXE4r_bg_BldClear
0x1406C00E0	EXE4r_bg_BgColorTrans
0x1406C0260	EXE4r_bg_BgScrnBuffClear
0x1406C0340	EXE4r_bg_BgDebugFontSet
0x14021FB90	EXE4r_bgefc_BgEfcExec
0x140220000	EXE4r_bgefc_BgEfcKill
0x140220260	EXE4r_bgefc_BgEfcKill2
0x1402204C0	EXE4r_bgefc_BgEfcMove
0x140220720	EXE4r_bgefc_BgEfcMoveCheck
0x1406D1010	EXE4r_bgefc00_BgEfc00Move
0x1406D1260	EXE4r_bgefc00_bgefc00_init
0x1406D1640	EXE4r_bgefc00_bgefc00_main
0x1406D1A90	EXE4r_bgefc00_bgefc00_end_ck
0x1406D1D90	EXE4r_bgefc00_bgefc00_se_ck
