0x140A03BE0	EXE5p_bbs_BbsInit
0x140A03F60	EXE5p_bbs_BbsMain
0x140A04420	EXE5p_bbs_bbs_enter
0x140A047D0	EXE5p_bbs_bbs_menu
0x140A049B0	EXE5p_bbs_bbs_exit
0x140A04C50	EXE5p_bbs_bbs_open
0x140A04FF0	EXE5p_bbs_bbs_read
0x140A054B0	EXE5p_bbs_bbs_close
0x140A05870	EXE5p_bbs_bbs_open_wait
0x140A05CA0	EXE5p_bbs_bbs_open_wait_new
0x140A060D0	EXE5p_bbs_bbs_open_new
0x140A06400	EXE5p_bbs_bbs_read_new
0x140A06760	EXE5p_bbs_bbs_close_new
0x140A06980	EXE5p_bbs_bbs_trans
0x140A06CB0	EXE5p_bbs_bbs_mess_data_uncomp
0x140A06F50	EXE5p_bbs_SendBbsFlagOn
0x140A07270	EXE5p_bbs_BbsBuffInitAll
0x140A073E0	EXE5p_bbs_BbsBuffInit
0x140A07710	EXE5p_bbs_BbsFlagAllOn
0x140D45F30	EXE5p_bbs2_bbs_scrn_char_init
0x140D46070	EXE5p_bbs2_bbs_buff_set
0x140D46770	EXE5p_bbs2_bbs_body_set
0x140D46CD0	EXE5p_bbs2_bbs_menu_string_char_set
0x140D474C0	EXE5p_bbs2_bbs_new_set
0x140D47FA0	EXE5p_bbs2_bbs_new_set2
0x140D48ED0	EXE5p_bbs2_bbs_menu_key_move
0x140D49290	EXE5p_bbs2_bbs_cancel
0x140D49420	EXE5p_bbs2_bbs_decition
0x140D49A10	EXE5p_bbs2_bbs_mess_win_set
0x140D49D90	EXE5p_bbs2_bbs_mess_win_clear
0x140D4A150	EXE5p_bbs2_bbs_mess_new_win_set
0x140D4A4D0	EXE5p_bbs2_bbs_menu_string_char_set2
0x140D4A860	EXE5p_bbs2_bbs_menu_string_scrn_set2
0x140D4ABC0	EXE5p_bbs2_bbs_common_clt_set
0x140D4AE00	EXE5p_bbs2_first_new_check
0x140D4B200	EXE5p_bbs2_bbs_cursor_ctrl
0x140D4B950	EXE5p_bbs2_bbs_cursor_disp
0x140D4C050	EXE5p_bbs2_bbs_kensu_set
0x1411FAFA0	EXE5p_bg_BgInit
0x1411FB070	EXE5p_bg_BgFlash
0x1411FB1D0	EXE5p_bg_BgCtrlSet
0x1411FB320	EXE5p_bg_BgCtrlSetField
0x1411FB4E0	EXE5p_bg_DispCtrlSetAll
0x1411FB870	EXE5p_bg_DispCtrlSet
0x1411FB8F0	EXE5p_bg_DispCtrlGet
0x1411FB970	EXE5p_bg_DispCtrlBgOfsClear
0x1411FBAC0	EXE5p_bg_DispCtrlMosaicClear
0x1411FBB90	EXE5p_bg_BgVramBlankSet
0x1411FBD40	EXE5p_bg_BgColorBlankSet
0x1411FBE40	EXE5p_bg_BgColorBlankInit
0x1411FBF80	EXE5p_bg_BgColorTrans
