0x1404F56A0	EXE2j_bbs_BbsInit
0x1404F5910	EXE2j_bbs_BbsMain
0x1404F5AA0	EXE2j_bbs_bbs_enter
0x1404F6180	EXE2j_bbs_bbs_menu
0x1404F62A0	EXE2j_bbs_bbs_exit
0x1404F6530	EXE2j_bbs_bbs_read
0x1404F6860	EXE2j_bbs_bbs_trans
0x1404F6BC0	EXE2j_bbs_bbs_mess_data_uncomp
0x140725300	EXE2j_bbs2_bbs_body_set
0x140725630	EXE2j_bbs2_bbs_menu_string_char_set
0x140725F20	EXE2j_bbs2_bbs_new_set
0x140726BD0	EXE2j_bbs2_bbs_menu_key_move
0x140726E80	EXE2j_bbs2_bbs_cancel
0x140727010	EXE2j_bbs2_bbs_decition
0x1407271E0	EXE2j_bbs2_bbs_key_limit_check
0x140A67F60	EXE2j_bg_BgInit
0x140A68150	EXE2j_bg_BgFlash
0x140A682A0	EXE2j_bg_BgCtrlSet
0x140A683E0	EXE2j_bg_DispCtrlSet
0x140A687F0	EXE2j_bg_bld00_proc
0x140A68A30	EXE2j_bg_bld01_proc
0x140A68C90	EXE2j_bg_bld10_proc
0x140A68EB0	EXE2j_bg_bld11_proc
0x140A690D0	EXE2j_bg_BgVramBlankSet
0x140A69280	EXE2j_bg_BgColorBlankSet
0x140A693E0	EXE2j_bg_BldClear
0x140A69500	EXE2j_bg_BgColorTrans
0x140A69670	EXE2j_bg_BgScrnBuffClear
0x140ACC6E0	EXE2j_bgtrans_BgCharInit
0x140ACCBB0	EXE2j_bgtrans_BgCharSet
0x140ACD3E0	EXE2j_bgtrans_BgCharMove
0x140ACD880	EXE2j_bgtrans_GetBgScrnData
0x140ACDC30	EXE2j_bgtrans_PutBgScrnDataReal
0x140ACE060	EXE2j_bgtrans_BgScrnDataTransXsub
0x140ACEAA0	EXE2j_bgtrans_BgScrnDataTransXadd
0x140ACF4E0	EXE2j_bgtrans_BgScrnDataTransYsub
0x140ACFF30	EXE2j_bgtrans_BgScrnDataTransYadd
0x140AD0970	EXE2j_bgtrans_PutBgScrnDataComp
0x140AD0DD0	EXE2j_bgtrans_PutBgScrnDataBatt
0x140AD1080	EXE2j_bgtrans_BgScrnInitReal
0x1407E2550	EXE2j_bgtrans2_BgScrnInitComp
