0x140BC13D0	EXE3w_bbs_BbsInit
0x140BC17D0	EXE3w_bbs_BbsMain
0x140BC1D50	EXE3w_bbs_bbs_enter
0x140BC2420	EXE3w_bbs_bbs_menu
0x140BC2540	EXE3w_bbs_bbs_exit
0x140BC27E0	EXE3w_bbs_bbs_open
0x140BC2A40	EXE3w_bbs_bbs_read
0x140BC2DA0	EXE3w_bbs_bbs_close
0x140BC2FC0	EXE3w_bbs_bbs_open_wait
0x140BC30E0	EXE3w_bbs_bbs_open_new
0x140BC3350	EXE3w_bbs_bbs_read_new
0x140BC34E0	EXE3w_bbs_bbs_close_new
0x140BC3720	EXE3w_bbs_bbs_trans
0x140BC3A50	EXE3w_bbs_bbs_mess_data_uncomp
0x140E7C4B0	EXE3w_bbs2_bbs_scrn_char_init
0x140E7C9E0	EXE3w_bbs2_bbs_buff_set
0x140E7D160	EXE3w_bbs2_bbs_body_set
0x140E7D730	EXE3w_bbs2_bbs_menu_string_char_set
0x140E7DF40	EXE3w_bbs2_bbs_new_set2
0x140E7E3A0	EXE3w_bbs2_bbs_new_set
0x140E7F160	EXE3w_bbs2_bbs_menu_key_move
0x140E7F520	EXE3w_bbs2_bbs_cancel
0x140E7F6B0	EXE3w_bbs2_bbs_decition
0x140E7FA40	EXE3w_bbs2_bbs_mess_win_set
0x140E7FDE0	EXE3w_bbs2_bbs_mess_new_win_set
0x140E80160	EXE3w_bbs2_bbs_menu_string_char_set2
0x140E80560	EXE3w_bbs2_bbs_menu_string_scrn_set2
0x140E808C0	EXE3w_bbs2_bbs_common_clt_set
0x14134E270	EXE3w_bg_BgInit
0x14134E4E0	EXE3w_bg_BgFlash
0x14134E670	EXE3w_bg_BgCtrlSet
0x14134E7C0	EXE3w_bg_DispCtrlSet
0x14134EBF0	EXE3w_bg_BgVramBlankSet
0x14134ED70	EXE3w_bg_BgColorBlankSet
0x14134EEA0	EXE3w_bg_BldClear
0x14134EFC0	EXE3w_bg_BgColorTrans
0x14134F130	EXE3w_bg_BgScrnBuffClear
0x1413EBA60	EXE3w_bgtrans_BgCharInit
0x1413EC1E0	EXE3w_bgtrans_BgCharSet
0x1413ECC10	EXE3w_bgtrans_BgCharMove
0x1413ED3F0	EXE3w_bgtrans_local_GetBgScrnData
0x1413ED7A0	EXE3w_bgtrans_local_PutBgScrnDataReal
0x1413EDBD0	EXE3w_bgtrans_local_BgScrnDataTransXsub
0x1413EE610	EXE3w_bgtrans_local_BgScrnDataTransXadd
