0x14139EEB0	EXE5c_bbs_BbsInit
0x140A02B40	EXE5c_bbs_BbsMain
0x14139F2F0	EXE5c_bbs_bbs_enter
0x14139F6A0	EXE5c_bbs_bbs_menu
0x14139F880	EXE5c_bbs_bbs_exit
0x14139FB20	EXE5c_bbs_bbs_open
0x14139FEC0	EXE5c_bbs_bbs_read
0x1413A0380	EXE5c_bbs_bbs_close
0x1413A0740	EXE5c_bbs_bbs_open_wait
0x1413A0B70	EXE5c_bbs_bbs_open_wait_new
0x1413A0FA0	EXE5c_bbs_bbs_open_new
0x1413A12D0	EXE5c_bbs_bbs_read_new
0x1413A1630	EXE5c_bbs_bbs_close_new
0x1413A1850	EXE5c_bbs_bbs_trans
0x1413A1B80	EXE5c_bbs_bbs_mess_data_uncomp
0x140A05B30	EXE5c_bbs_SendBbsFlagOn
0x1413A1E20	EXE5c_bbs_BbsBuffInitAll
0x1413A1F90	EXE5c_bbs_BbsBuffInit
0x140A062F0	EXE5c_bbs_BbsFlagAllOn
0x141650C50	EXE5c_bbs2_bbs_scrn_char_init
0x140D44C50	EXE5c_bbs2_bbs_buff_set
0x140D45350	EXE5c_bbs2_bbs_body_set
0x141650D90	EXE5c_bbs2_bbs_menu_string_char_set
0x141651580	EXE5c_bbs2_bbs_new_set
0x141652060	EXE5c_bbs2_bbs_new_set2
0x141652F90	EXE5c_bbs2_bbs_menu_key_move
0x141653350	EXE5c_bbs2_bbs_cancel
0x1416534E0	EXE5c_bbs2_bbs_decition
0x140D485F0	EXE5c_bbs2_bbs_mess_win_set
0x140D48970	EXE5c_bbs2_bbs_mess_win_clear
0x140D48D30	EXE5c_bbs2_bbs_mess_new_win_set
0x141653AD0	EXE5c_bbs2_bbs_menu_string_char_set2
0x141653E60	EXE5c_bbs2_bbs_menu_string_scrn_set2
0x140D497A0	EXE5c_bbs2_bbs_common_clt_set
0x140D499E0	EXE5c_bbs2_first_new_check
0x140D49DE0	EXE5c_bbs2_bbs_cursor_ctrl
0x1416541C0	EXE5c_bbs2_bbs_cursor_disp
0x140D4AC30	EXE5c_bbs2_bbs_kensu_set
0x141A470F0	EXE5c_bg_BgInit
0x141A471C0	EXE5c_bg_BgFlash
0x1411F9DB0	EXE5c_bg_BgCtrlSet
0x1411F9F00	EXE5c_bg_BgCtrlSetField
0x141A47320	EXE5c_bg_DispCtrlSetAll
0x1411FA450	EXE5c_bg_DispCtrlSet
0x1411FA4D0	EXE5c_bg_DispCtrlGet
0x1411FA550	EXE5c_bg_DispCtrlBgOfsClear
0x1411FA6A0	EXE5c_bg_DispCtrlMosaicClear
0x141A476B0	EXE5c_bg_BgVramBlankSet
0x141A47860	EXE5c_bg_BgColorBlankSet
0x141A47960	EXE5c_bg_BgColorBlankInit
0x141A47AA0	EXE5c_bg_BgColorTrans
0x141A47C20	EXE5c_bg_BldClear
0x141A47D40	EXE5c_bg_WinClear
0x141A47E60	EXE5c_bg_BgScrnBuffClear
0x141A47F40	EXE5c_bg_BgDebugFontSet
0x1415977C0	EXE5c_bgefc_BgEfcExec
0x141597C30	EXE5c_bgefc_BgEfcKill
0x141597E90	EXE5c_bgefc_BgEfcKill2
0x140C5F860	EXE5c_bgefc_BgEfcMove
0x140C5FAC0	EXE5c_bgefc_BgEfcMoveCheck
0x141206F30	EXE5c_bgefc00_BgEfc00Move
0x141207180	EXE5c_bgefc00_BgEfc00Stop
0x141A52B80	EXE5c_bgefc00_bgefc00_init
0x1412077F0	EXE5c_bgefc00_bgefc00_main
0x141207A30	EXE5c_bgefc00_bgefc00_disp_sub
0x1412B19A0	EXE5c_bgefc02_BgEfc02Move
0x1412B1CB0	EXE5c_bgefc02_BgEfc02Stop
0x141ADBB50	EXE5c_bgefc02_bgefc02_init
0x1412B2370	EXE5c_bgefc02_bgefc02_main
0x140ACAA80	EXE5c_bgefc05_BgEfc05Move
0x140ACAD90	EXE5c_bgefc05_BgEfc05Stop
0x14144B6B0	EXE5c_bgefc05_bgefc05_init
0x140ACB390	EXE5c_bgefc05_bgefc05_main
0x140ACB7A0	EXE5c_bgefc05_bgefc05_end
0x140C026C0	EXE5c_bgefc06_BgEfc06Move
0x14154FDF0	EXE5c_bgefc06_BgEfc06Stop
0x141550060	EXE5c_bgefc06_bgefc06_init
0x141550400	EXE5c_bgefc06_l0a_20000
0x141550430	EXE5c_bgefc06_l0b_20001
0x141550460	EXE5c_bgefc06_l0c_20002
0x141550490	EXE5c_bgefc06_l0d_20003
0x140C031F0	EXE5c_bgefc06_bgefc06_main
0x140C03430	EXE5c_bgefc06_bgefc06_disp_sub
0x1412621C0	EXE5c_bgefc_sub_BgEfcPrint2
0x1412623B0	EXE5c_bgefc_sub_BgEfcPrint
0x141282560	EXE5c_bgprint_BgPrint
0x141282730	EXE5c_bgprint_BgPrintXY
0x141282E40	EXE5c_bgprint_BgPrintXYLimit
0x141282FC0	EXE5c_bgprint_BgPrintXYLimitByte
0x141283140	EXE5c_bgprint_BgClearXYLimit
0x1412832C0	EXE5c_bgprint_BgClearXYLimitByte
0x141283440	EXE5c_bgprint_BgPrintXLoop
0x141283940	EXE5c_bgprint_BgPrintYLoop
0x141283DC0	EXE5c_bgprint_BgScrnDataEdit16x16
0x140C1F200	EXE5c_bgscr_BgScrollProcSet
0x140C1F390	EXE5c_bgscr_BgScrollProcReset
0x140C1F4D0	EXE5c_bgscr_BgScrollProc
0x140C1F5A0	EXE5c_bgscr_BgScrollProcVBlank
0x140C1F670	EXE5c_bgscr_Type00VBlank
0x140C1F6B0	EXE5c_bgscr_Type01VBlank
0x140C1F880	EXE5c_bgscr_Type01VBlank2
0x140C1FA50	EXE5c_bgscr_Type02VBlank
0x140C1FB80	EXE5c_bgscr_Type02VBlank2
0x140C1FCB0	EXE5c_bgscr_Type03VBlank
0x140C1FDE0	EXE5c_bgscr_Type03VBlank2
0x140C1FF10	EXE5c_bgscr_Type04VBlank
0x140C20040	EXE5c_bgscr_Type05VBlank
0x140C20170	EXE5c_bgscr_Type05VBlank2
0x140C202A0	EXE5c_bgscr_Type06VBlank
0x140C205A0	EXE5c_bgscr_TypeXXDummy
0x1412A3020	EXE5c_bgtrans_BgCharInit
0x1412A3740	EXE5c_bgtrans_BgCharInitBattle
0x1412A3800	EXE5c_bgtrans_BgInScrCheck
0x141AD3730	EXE5c_bgtrans_BgCharSet
0x141AD3F30	EXE5c_bgtrans_BgScrollCharSet
0x1412A4E30	EXE5c_bgtrans_BgCharMove
0x1412A5610	EXE5c_bgtrans_local_GetBgScrnDataField
0x1412A59D0	EXE5c_bgtrans_local_PutBgScrnDataField
0x1412A5DE0	EXE5c_bgtrans_local_PutBgScrnDataBattle
0x1412A5E10	EXE5c_bgtrans_local_PutBgScrnDataField_2
0x1412A6050	EXE5c_bgtrans_local_PutBgScrnDataField_3
0x1412A6290	EXE5c_bgtrans_local_BgScrnDataTransXsub
0x1412A6CE0	EXE5c_bgtrans_local_BgScrnDataTransXadd
0x1412A7720	EXE5c_bgtrans_local_BgScrnDataTransYsub
0x1412A8170	EXE5c_bgtrans_local_BgScrnDataTransYadd
0x140E35750	EXE5c_bgtrans2_local_BgScrnInit
0x140E36350	EXE5c_bgtrans2_local_BgScrnInitAll
0x140E36630	EXE5c_bgtrans2_local_BgScrnInitAll_2_sub
0x141125A20	EXE5c_bgwram_local_BgPrintXYLimitWram
0x141125F10	EXE5c_bgwram_local_BgPrintXYLimitWramByte
0x141126400	EXE5c_bgwram_local_BgClearXYLimitWram
0x1411268A0	EXE5c_bgwram_local_BgClearXYLimitWramByte
0x141126D20	EXE5c_bgwram_local_ColFadeTransWram
0x1411270F0	EXE5c_bgwram_add_blend
0x1411272F0	EXE5c_bgwram_sub_blend
0x141127520	EXE5c_bgwram_local_ColFadeTransWram2
0x1411278D0	EXE5c_bgwram_add_blend2
0x141127FF0	EXE5c_bgwram_sub_blend2
0x141936F80	EXE5c_block_BlockTransInit
0x141937360	EXE5c_block_BlockMove
0x1410AA1B0	EXE5c_block_BlockTransSub
0x1410AA810	EXE5c_block_BlockTransSubFlash
0x1410AACE0	EXE5c_block_BlockTransSubEdge
0x1410AB200	EXE5c_block_BlockTransSubNoEdge
0x1419378E0	EXE5c_block_BlockColorTrans
0x141937EE0	EXE5c_block_block_check_sub
0x141938910	EXE5c_block_BattleBlockInit
0x141939680	EXE5c_block_BlockTrans
0x1410ADD50	EXE5c_block_SetStealBlockCheckTable
0x141939F80	EXE5c_block__get_field_tbl_adrs
0x1410AE790	EXE5c_block__get_block_work_adrs
0x1410AE8B0	EXE5c_block__steal_block_exist_check
0x1410AF180	EXE5c_block__steal_block_check
0x1410B0530	EXE5c_block__steal_block_return
0x1410B0A70	EXE5c_block__set_steal_block_check_data
0x1410B0F90	EXE5c_block__check_area_return
0x1410B1740	EXE5c_block__check_em_exist
0x1410B1CD0	EXE5c_block__set_plem_change_request
0x1410B2630	EXE5c_block__get_block_plem_work_adrs
0x140EF60E0	EXE5c_blocksubw_BlockWorkRefreshAllWram
0x140EF64D0	EXE5c_blocksubw_BlockWorkRefreshWram
0x140EF6830	EXE5c_blocksubw_BlockAdrsGetWram
0x140EF6AC0	EXE5c_blocksubw_BattleHitStatusCheckWram
0x140E00CE0	EXE5c_block_sub_BlockWorkInit
0x140E00D80	EXE5c_block_sub_BlockStatusGet
0x140E00E50	EXE5c_block_sub_BlockAdrsGet
0x140E00F10	EXE5c_block_sub_BlockWorkRefreshAll
0x140E00FD0	EXE5c_block_sub_BlockWorkRefresh
0x1416F0A00	EXE5c_block_sub_BlockCrackSet
0x1416F0CA0	EXE5c_block_sub_BlockCrackSet2
0x1416F0F40	EXE5c_block_sub_BlockOutSet
0x1416F1160	EXE5c_block_sub_BlockOutSet2
0x1416F1430	EXE5c_block_sub_BlockOutSet3
0x1416F1660	EXE5c_block_sub_BlockOutSet4
0x1416F1890	EXE5c_block_sub_BlockOutSet5
0x1416F1AC0	EXE5c_block_sub_BlockPoisonSet
0x140E02310	EXE5c_block_sub_BlockFlash
0x140E02490	EXE5c_block_sub_BlockTypeChange
0x140E02740	EXE5c_block_sub_BlockPlEmChange
0x140E02950	EXE5c_block_sub_BlockPlEmTimerSet
0x140E02A20	EXE5c_block_sub_BlockPlEmTimerReset
0x140E02B40	EXE5c_block_sub_BlockTransSet
0x140E02D20	EXE5c_block_sub_BlockInScreenCheck
0x140E02DF0	EXE5c_block_sub_BlockInScreenCheckSub
0x140E02F60	EXE5c_block_sub_BlockMoveCheck
0x140E03130	EXE5c_block_sub_BlockExistCheck
0x140E03200	EXE5c_block_sub_BlockExistCheckSub
0x140E03300	EXE5c_block_sub_HitBlockFlash
0x140E03410	EXE5c_block_sub_HitBlockFlashSub
0x140E03960	EXE5c_block_sub_BlockTypeNumGet
0x140E03EB0	EXE5c_block_sub_BlockTypeNumGet2
0x140E045C0	EXE5c_block_sub_BlockTransOff
