0x140A027C0	EXE5p_bbs_BbsInit
0x140A02B40	EXE5p_bbs_BbsMain
0x140A03000	EXE5p_bbs_bbs_enter
0x140A033B0	EXE5p_bbs_bbs_menu
0x140A03590	EXE5p_bbs_bbs_exit
0x140A03830	EXE5p_bbs_bbs_open
0x140A03BD0	EXE5p_bbs_bbs_read
0x140A04090	EXE5p_bbs_bbs_close
0x140A04450	EXE5p_bbs_bbs_open_wait
0x140A04880	EXE5p_bbs_bbs_open_wait_new
0x140A04CB0	EXE5p_bbs_bbs_open_new
0x140A04FE0	EXE5p_bbs_bbs_read_new
0x140A05340	EXE5p_bbs_bbs_close_new
0x140A05560	EXE5p_bbs_bbs_trans
0x140A05890	EXE5p_bbs_bbs_mess_data_uncomp
0x140A05B30	EXE5p_bbs_SendBbsFlagOn
0x140A05E50	EXE5p_bbs_BbsBuffInitAll
0x140A05FC0	EXE5p_bbs_BbsBuffInit
0x140A062F0	EXE5p_bbs_BbsFlagAllOn
0x140D44B10	EXE5p_bbs2_bbs_scrn_char_init
0x140D44C50	EXE5p_bbs2_bbs_buff_set
0x140D45350	EXE5p_bbs2_bbs_body_set
0x140D458B0	EXE5p_bbs2_bbs_menu_string_char_set
0x140D460A0	EXE5p_bbs2_bbs_new_set
0x140D46B80	EXE5p_bbs2_bbs_new_set2
0x140D47AB0	EXE5p_bbs2_bbs_menu_key_move
0x140D47E70	EXE5p_bbs2_bbs_cancel
0x140D48000	EXE5p_bbs2_bbs_decition
0x140D485F0	EXE5p_bbs2_bbs_mess_win_set
0x140D48970	EXE5p_bbs2_bbs_mess_win_clear
0x140D48D30	EXE5p_bbs2_bbs_mess_new_win_set
0x140D490B0	EXE5p_bbs2_bbs_menu_string_char_set2
0x140D49440	EXE5p_bbs2_bbs_menu_string_scrn_set2
0x140D497A0	EXE5p_bbs2_bbs_common_clt_set
0x140D499E0	EXE5p_bbs2_first_new_check
0x140D49DE0	EXE5p_bbs2_bbs_cursor_ctrl
0x140D4A530	EXE5p_bbs2_bbs_cursor_disp
0x140D4AC30	EXE5p_bbs2_bbs_kensu_set
0x1411F9B80	EXE5p_bg_BgInit
0x1411F9C50	EXE5p_bg_BgFlash
0x1411F9DB0	EXE5p_bg_BgCtrlSet
0x1411F9F00	EXE5p_bg_BgCtrlSetField
0x1411FA0C0	EXE5p_bg_DispCtrlSetAll
0x1411FA450	EXE5p_bg_DispCtrlSet
0x1411FA4D0	EXE5p_bg_DispCtrlGet
0x1411FA550	EXE5p_bg_DispCtrlBgOfsClear
0x1411FA6A0	EXE5p_bg_DispCtrlMosaicClear
0x1411FA770	EXE5p_bg_BgVramBlankSet
0x1411FA920	EXE5p_bg_BgColorBlankSet
0x1411FAA20	EXE5p_bg_BgColorBlankInit
0x1411FAB60	EXE5p_bg_BgColorTrans
0x1411FACE0	EXE5p_bg_BldClear
0x1411FAE00	EXE5p_bg_WinClear
0x1411FAF20	EXE5p_bg_BgScrnBuffClear
0x1411FB000	EXE5p_bg_BgDebugFontSet
0x140C5EF30	EXE5p_bgefc_BgEfcExec
0x140C5F3A0	EXE5p_bgefc_BgEfcKill
0x140C5F600	EXE5p_bgefc_BgEfcKill2
0x140C5F860	EXE5p_bgefc_BgEfcMove
0x140C5FAC0	EXE5p_bgefc_BgEfcMoveCheck
0x141206F30	EXE5p_bgefc00_BgEfc00Move
0x141207180	EXE5p_bgefc00_BgEfc00Stop
0x1412074B0	EXE5p_bgefc00_bgefc00_init
0x1412077F0	EXE5p_bgefc00_bgefc00_main
0x141207A30	EXE5p_bgefc00_bgefc00_disp_sub
0x1412B19A0	EXE5p_bgefc02_BgEfc02Move
0x1412B1CB0	EXE5p_bgefc02_BgEfc02Stop
0x1412B1FE0	EXE5p_bgefc02_bgefc02_init
0x1412B2370	EXE5p_bgefc02_bgefc02_main
0x140ACAA80	EXE5p_bgefc05_BgEfc05Move
0x140ACAD90	EXE5p_bgefc05_BgEfc05Stop
0x140ACB010	EXE5p_bgefc05_bgefc05_init
0x140ACB390	EXE5p_bgefc05_bgefc05_main
0x140ACB7A0	EXE5p_bgefc05_bgefc05_end
0x140C026C0	EXE5p_bgefc06_BgEfc06Move
0x140C02910	EXE5p_bgefc06_BgEfc06Stop
0x140C02B80	EXE5p_bgefc06_bgefc06_init
0x140C02F20	EXE5p_bgefc06_l0a_20000
0x140C02F50	EXE5p_bgefc06_l0b_20001
0x140C02F80	EXE5p_bgefc06_l0c_20002
0x140C02FB0	EXE5p_bgefc06_l0d_20003
0x140C031F0	EXE5p_bgefc06_bgefc06_main
0x140C03430	EXE5p_bgefc06_bgefc06_disp_sub
0x1412621C0	EXE5p_bgefc_sub_BgEfcPrint2
0x1412623B0	EXE5p_bgefc_sub_BgEfcPrint
0x141282560	EXE5p_bgprint_BgPrint
0x141282730	EXE5p_bgprint_BgPrintXY
0x141282E40	EXE5p_bgprint_BgPrintXYLimit
0x141282FC0	EXE5p_bgprint_BgPrintXYLimitByte
0x141283140	EXE5p_bgprint_BgClearXYLimit
0x1412832C0	EXE5p_bgprint_BgClearXYLimitByte
0x141283440	EXE5p_bgprint_BgPrintXLoop
0x141283940	EXE5p_bgprint_BgPrintYLoop
0x141283DC0	EXE5p_bgprint_BgScrnDataEdit16x16
0x140C1F200	EXE5p_bgscr_BgScrollProcSet
0x140C1F390	EXE5p_bgscr_BgScrollProcReset
0x140C1F4D0	EXE5p_bgscr_BgScrollProc
0x140C1F5A0	EXE5p_bgscr_BgScrollProcVBlank
0x140C1F670	EXE5p_bgscr_Type00VBlank
0x140C1F6B0	EXE5p_bgscr_Type01VBlank
0x140C1F880	EXE5p_bgscr_Type01VBlank2
0x140C1FA50	EXE5p_bgscr_Type02VBlank
0x140C1FB80	EXE5p_bgscr_Type02VBlank2
0x140C1FCB0	EXE5p_bgscr_Type03VBlank
0x140C1FDE0	EXE5p_bgscr_Type03VBlank2
0x140C1FF10	EXE5p_bgscr_Type04VBlank
0x140C20040	EXE5p_bgscr_Type05VBlank
0x140C20170	EXE5p_bgscr_Type05VBlank2
0x140C202A0	EXE5p_bgscr_Type06VBlank
0x140C205A0	EXE5p_bgscr_TypeXXDummy
0x1412A3020	EXE5p_bgtrans_BgCharInit
0x1412A3740	EXE5p_bgtrans_BgCharInitBattle
