0x14139F1D0	EXE5_bbs_BbsInit
0x140A02B40	EXE5_bbs_BbsMain
0x14139F610	EXE5_bbs_bbs_enter
0x14139F9C0	EXE5_bbs_bbs_menu
0x14139FBA0	EXE5_bbs_bbs_exit
0x14139FE40	EXE5_bbs_bbs_open
0x1413A01E0	EXE5_bbs_bbs_read
0x1413A06A0	EXE5_bbs_bbs_close
0x1413A0A60	EXE5_bbs_bbs_open_wait
0x1413A0E90	EXE5_bbs_bbs_open_wait_new
0x1413A12C0	EXE5_bbs_bbs_open_new
0x1413A15F0	EXE5_bbs_bbs_read_new
0x1413A1950	EXE5_bbs_bbs_close_new
0x1413A1B70	EXE5_bbs_bbs_trans
0x1413A1EA0	EXE5_bbs_bbs_mess_data_uncomp
0x140A05B30	EXE5_bbs_SendBbsFlagOn
0x1413A2140	EXE5_bbs_BbsBuffInitAll
0x1413A22B0	EXE5_bbs_BbsBuffInit
0x140A062F0	EXE5_bbs_BbsFlagAllOn
0x141651290	EXE5_bbs2_bbs_scrn_char_init
0x140D44F70	EXE5_bbs2_bbs_buff_set
0x140D45670	EXE5_bbs2_bbs_body_set
0x1416513D0	EXE5_bbs2_bbs_menu_string_char_set
0x141651BC0	EXE5_bbs2_bbs_new_set
0x1416526A0	EXE5_bbs2_bbs_new_set2
0x1416535D0	EXE5_bbs2_bbs_menu_key_move
0x141653990	EXE5_bbs2_bbs_cancel
0x141653B20	EXE5_bbs2_bbs_decition
0x140D48910	EXE5_bbs2_bbs_mess_win_set
0x140D48C90	EXE5_bbs2_bbs_mess_win_clear
0x140D49050	EXE5_bbs2_bbs_mess_new_win_set
0x141654110	EXE5_bbs2_bbs_menu_string_char_set2
0x1416544A0	EXE5_bbs2_bbs_menu_string_scrn_set2
0x140D49AC0	EXE5_bbs2_bbs_common_clt_set
0x140D49D00	EXE5_bbs2_first_new_check
0x140D4A100	EXE5_bbs2_bbs_cursor_ctrl
0x141654800	EXE5_bbs2_bbs_cursor_disp
0x140D4AF50	EXE5_bbs2_bbs_kensu_set
0x141A47730	EXE5_bg_BgInit
0x141A47800	EXE5_bg_BgFlash
0x1411FA0D0	EXE5_bg_BgCtrlSet
0x1411FA220	EXE5_bg_BgCtrlSetField
0x141A47960	EXE5_bg_DispCtrlSetAll
0x1411FA770	EXE5_bg_DispCtrlSet
0x1411FA7F0	EXE5_bg_DispCtrlGet
0x1411FA870	EXE5_bg_DispCtrlBgOfsClear
