0x140A027C0	EXE5p_bbs_BbsInit
0x140A02B40	EXE5p_bbs_BbsMain
0x140A03000	EXE5p_bbs_bbs_enter
0x140A033B0	EXE5p_bbs_bbs_menu
0x140A03590	EXE5p_bbs_bbs_exit
0x140A03830	EXE5p_bbs_bbs_open
0x140A03BD0	EXE5p_bbs_bbs_read
0x140A04090	EXE5p_bbs_bbs_close
0x140A04450	EXE5p_bbs_bbs_open_wait
0x140A04880	EXE5p_bbs_bbs_open_wait_new
0x140A04CB0	EXE5p_bbs_bbs_open_new
0x140A04FE0	EXE5p_bbs_bbs_read_new
0x140A05340	EXE5p_bbs_bbs_close_new
0x140A05560	EXE5p_bbs_bbs_trans
0x140A05890	EXE5p_bbs_bbs_mess_data_uncomp
0x140A05B30	EXE5p_bbs_SendBbsFlagOn
0x140A05E50	EXE5p_bbs_BbsBuffInitAll
0x140A05FC0	EXE5p_bbs_BbsBuffInit
0x140A062F0	EXE5p_bbs_BbsFlagAllOn
0x140D44E30	EXE5p_bbs2_bbs_scrn_char_init
0x140D44F70	EXE5p_bbs2_bbs_buff_set
0x140D45670	EXE5p_bbs2_bbs_body_set
0x140D45BD0	EXE5p_bbs2_bbs_menu_string_char_set
0x140D463C0	EXE5p_bbs2_bbs_new_set
0x140D46EA0	EXE5p_bbs2_bbs_new_set2
0x140D47DD0	EXE5p_bbs2_bbs_menu_key_move
0x140D48190	EXE5p_bbs2_bbs_cancel
0x140D48320	EXE5p_bbs2_bbs_decition
0x140D48910	EXE5p_bbs2_bbs_mess_win_set
0x140D48C90	EXE5p_bbs2_bbs_mess_win_clear
0x140D49050	EXE5p_bbs2_bbs_mess_new_win_set
0x140D493D0	EXE5p_bbs2_bbs_menu_string_char_set2
0x140D49760	EXE5p_bbs2_bbs_menu_string_scrn_set2
0x140D49AC0	EXE5p_bbs2_bbs_common_clt_set
0x140D49D00	EXE5p_bbs2_first_new_check
0x140D4A100	EXE5p_bbs2_bbs_cursor_ctrl
0x140D4A850	EXE5p_bbs2_bbs_cursor_disp
0x140D4AF50	EXE5p_bbs2_bbs_kensu_set
0x1411F9EA0	EXE5p_bg_BgInit
0x1411F9F70	EXE5p_bg_BgFlash
0x1411FA0D0	EXE5p_bg_BgCtrlSet
0x1411FA220	EXE5p_bg_BgCtrlSetField
0x1411FA3E0	EXE5p_bg_DispCtrlSetAll
0x1411FA770	EXE5p_bg_DispCtrlSet
0x1411FA7F0	EXE5p_bg_DispCtrlGet
0x1411FA870	EXE5p_bg_DispCtrlBgOfsClear
0x1411FA9C0	EXE5p_bg_DispCtrlMosaicClear
0x1411FAA90	EXE5p_bg_BgVramBlankSet
0x1411FAC40	EXE5p_bg_BgColorBlankSet
0x1411FAD40	EXE5p_bg_BgColorBlankInit
0x1411FAE80	EXE5p_bg_BgColorTrans
0x1411FB000	EXE5p_bg_BldClear
0x1411FB120	EXE5p_bg_WinClear
0x1411FB240	EXE5p_bg_BgScrnBuffClear
0x1411FB320	EXE5p_bg_BgDebugFontSet
0x140C5F250	EXE5p_bgefc_BgEfcExec
0x140C5F6C0	EXE5p_bgefc_BgEfcKill
0x140C5F920	EXE5p_bgefc_BgEfcKill2
0x140C5FB80	EXE5p_bgefc_BgEfcMove
0x140C5FDE0	EXE5p_bgefc_BgEfcMoveCheck
0x141207250	EXE5p_bgefc00_BgEfc00Move
0x1412074A0	EXE5p_bgefc00_BgEfc00Stop
0x1412077D0	EXE5p_bgefc00_bgefc00_init
0x141207B10	EXE5p_bgefc00_bgefc00_main
0x141207D50	EXE5p_bgefc00_bgefc00_disp_sub
0x1412B1CC0	EXE5p_bgefc02_BgEfc02Move
0x1412B1FD0	EXE5p_bgefc02_BgEfc02Stop
0x1412B2300	EXE5p_bgefc02_bgefc02_init
0x1412B2690	EXE5p_bgefc02_bgefc02_main
0x140ACADA0	EXE5p_bgefc05_BgEfc05Move
0x140ACB0B0	EXE5p_bgefc05_BgEfc05Stop
0x140ACB330	EXE5p_bgefc05_bgefc05_init
0x140ACB6B0	EXE5p_bgefc05_bgefc05_main
0x140ACBAC0	EXE5p_bgefc05_bgefc05_end
0x140C029E0	EXE5p_bgefc06_BgEfc06Move
0x140C02C30	EXE5p_bgefc06_BgEfc06Stop
0x140C02EA0	EXE5p_bgefc06_bgefc06_init
0x140C03240	EXE5p_bgefc06_l0a_20000
0x140C03270	EXE5p_bgefc06_l0b_20001
0x140C032A0	EXE5p_bgefc06_l0c_20002
0x140C032D0	EXE5p_bgefc06_l0d_20003
0x140C03510	EXE5p_bgefc06_bgefc06_main
0x140C03750	EXE5p_bgefc06_bgefc06_disp_sub
0x1412624E0	EXE5p_bgefc_sub_BgEfcPrint2
0x1412626D0	EXE5p_bgefc_sub_BgEfcPrint
0x141282880	EXE5p_bgprint_BgPrint
0x141282A50	EXE5p_bgprint_BgPrintXY
0x141283160	EXE5p_bgprint_BgPrintXYLimit
0x1412832E0	EXE5p_bgprint_BgPrintXYLimitByte
0x141283460	EXE5p_bgprint_BgClearXYLimit
0x1412835E0	EXE5p_bgprint_BgClearXYLimitByte
0x141283760	EXE5p_bgprint_BgPrintXLoop
0x141283C60	EXE5p_bgprint_BgPrintYLoop
0x1412840E0	EXE5p_bgprint_BgScrnDataEdit16x16
0x140C1F520	EXE5p_bgscr_BgScrollProcSet
0x140C1F6B0	EXE5p_bgscr_BgScrollProcReset
0x140C1F7F0	EXE5p_bgscr_BgScrollProc
0x140C1F8C0	EXE5p_bgscr_BgScrollProcVBlank
0x140C1F990	EXE5p_bgscr_Type00VBlank
0x140C1F9D0	EXE5p_bgscr_Type01VBlank
0x140C1FBA0	EXE5p_bgscr_Type01VBlank2
0x140C1FD70	EXE5p_bgscr_Type02VBlank
0x140C1FEA0	EXE5p_bgscr_Type02VBlank2
0x140C1FFD0	EXE5p_bgscr_Type03VBlank
0x140C20100	EXE5p_bgscr_Type03VBlank2
0x140C20230	EXE5p_bgscr_Type04VBlank
0x140C20360	EXE5p_bgscr_Type05VBlank
0x140C20490	EXE5p_bgscr_Type05VBlank2
0x140C205C0	EXE5p_bgscr_Type06VBlank
0x140C208C0	EXE5p_bgscr_TypeXXDummy
0x1412A3340	EXE5p_bgtrans_BgCharInit
0x1412A3A60	EXE5p_bgtrans_BgCharInitBattle
